NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_001E,B03003_002E,B03003_003E,B19083_001E,B19083_001M,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Arapahoe County, Colorado",636671,314672,321999,455987,67821,4184,37326,1426,40961,28966,5177,23789,636671,515316,121355,0.4589,0.0045,38972,44344,48174,20846,27883,23696,33197,26600,18082,20175,08,005
"Broomfield County, Colorado",66120,32789,33331,57355,770,353,4324,0,906,2412,355,2057,66120,58051,8069,0.4303,0.0146,47016,47756,49726,33229,50387,38018,49648,-666666666,20938,34743,08,014
"New Haven County, Connecticut",859339,414311,445028,634586,113737,1540,34161,219,47728,27368,6623,20745,859339,707978,151361,0.4688,0.0043,36678,41007,44144,19758,23921,27877,41291,47892,18412,15807,09,009
"Tolland County, Connecticut",151269,75821,75448,133656,4621,67,7037,0,2254,3634,327,3307,151269,143183,8086,0.4315,0.0123,39668,41611,42274,22273,22155,45730,32245,-666666666,20087,16894,09,013
"Hartford County, Connecticut",894730,434650,460080,639528,122103,2945,46577,356,53568,29653,7094,22559,894730,736945,157785,0.4716,0.0041,39260,44661,48138,19747,25092,19409,42308,39340,17492,17635,09,003
"Windham County, Connecticut",116538,57560,58978,103567,2644,711,1614,23,3893,4086,186,3900,116538,103170,13368,0.4151,0.0099,31106,32880,33965,15879,17129,15369,20449,,14436,18045,09,015
"Middlesex County, Connecticut",163368,79676,83692,144844,8654,264,5020,8,1321,3257,322,2935,163368,153533,9835,0.4427,0.0088,45293,47072,47770,29864,31587,21561,40452,,22728,21249,09,007
"New Castle County, Delaware",555133,268870,286263,358183,138608,1434,30593,182,12286,13847,1554,12293,555133,501062,54071,0.4586,0.0063,35847,39909,42022,20005,27090,32134,44223,25191,17958,16324,10,003
"Sussex County, Delaware",219540,106429,113111,180762,26992,878,2621,236,3385,4666,427,4239,219540,199476,20064,0.4496,0.0090,33983,36919,38524,20393,19952,30754,32632,17205,16676,16170,10,005
"District of Columbia, District of Columbia",684498,324881,359617,280469,321317,1993,26718,340,33518,20143,2631,17512,684498,609722,74776,0.5283,0.0048,53321,84555,88632,39076,28977,26473,64071,60410,25706,40966,11,001
"Okaloosa County, Florida",200737,101745,98992,157460,19666,1032,6055,333,6857,9334,671,8663,200737,182619,18118,0.4303,0.0092,31901,34528,35260,20074,24613,13669,26890,15095,18890,18362,12,091
"Taylor County, Florida",22098,12414,9684,16497,4877,75,80,34,356,179,3,176,22098,21161,937,0.4179,0.0272,16919,20003,20545,5097,7916,14916,15589,,5129,6077,12,123
"Washington County, Florida",24566,13231,11335,19777,3803,308,149,112,53,364,9,355,24566,23679,887,0.4401,0.0245,18112,19911,20182,10921,9233,7638,26295,27065,22189,15310,12,133
"Duval County, Florida",924229,448163,476066,557139,273829,2138,43026,687,16064,31346,3063,28283,924229,838045,86184,0.4728,0.0074,30012,35481,37070,21748,20390,27455,33371,20324,22293,16590,12,031
"Bradford County, Florida",26979,14841,12138,20935,5353,104,158,0,84,345,20,325,26979,25911,1068,0.4403,0.0318,20481,23174,23641,12466,10908,4382,23804,-666666666,11804,11003,12,007
"Brevard County, Florida",576808,282023,294785,476767,58100,1942,14050,492,7757,17700,1915,15785,576808,519113,57695,0.4550,0.0069,30987,33172,34275,21499,19208,28590,29071,32930,18598,17956,12,009
"Clay County, Florida",207291,102225,105066,165931,21318,205,6083,100,4121,9533,951,8582,207291,187254,20037,0.4191,0.0119,29138,30859,31395,21884,24792,30918,29247,32294,22140,11779,12,019
"Lafayette County, Florida",8744,5066,3678,6916,1407,13,0,187,15,206,19,187,8744,7481,1263,0.4750,0.0453,19870,21565,24757,11455,5819,,-666666666,34708,16973,44243,12,067
"Lake County, Florida",335362,162402,172960,278353,35268,1416,6588,201,5404,8132,1131,7001,335362,285301,50061,0.4272,0.0084,27052,28807,30459,19078,17034,37161,27449,28794,18106,14255,12,069
"Nassau County, Florida",80578,39956,40622,73061,4886,274,821,0,524,1012,32,980,80578,77321,3257,0.4544,0.0180,35335,36510,36832,26029,24012,14415,47149,-666666666,18173,10100,12,089
"Pinellas County, Florida",957875,459766,498109,782632,98432,2693,31851,960,13170,28137,3405,24732,957875,867516,90359,0.4857,0.0046,33478,36181,37470,22439,19992,35287,30353,24782,21710,14643,12,103
