NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_001E,B03003_002E,B03003_003E,B19083_001E,B19083_001M,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Washington County, Mississippi",47086,22018,25068,12097,33982,56,282,0,391,278,74,204,47086,46357,729,0.5328,0.0241,19884,33274,31644,44672,15031,34279,34193,-666666666,16376,17975,28,151
"Perry County, Mississippi",12028,5845,6183,9475,2368,0,17,0,16,152,5,147,12028,11847,181,0.4818,0.0517,21611,22803,23155,4721,16900,-666666666,,-666666666,,16319,28,111
"Choctaw County, Mississippi",8321,4174,4147,5631,2596,23,15,8,13,35,0,35,8321,8288,33,0.4432,0.0249,20589,24903,24886,16485,11369,34804,,,,9486,28,019
"Itawamba County, Mississippi",23480,11821,11659,21346,1681,75,57,7,170,144,12,132,23480,23120,360,0.4299,0.0246,20629,21406,21477,14814,13690,6755,,,17314,6221,28,057
"Carroll County, Mississippi",10129,5116,5013,6523,3503,6,0,0,0,97,15,82,10129,10100,29,0.4489,0.0319,22567,27585,27636,,13420,,-666666666,-666666666,-666666666,14429,28,015
"Grenada County, Mississippi",21278,10103,11175,11736,9238,135,23,0,16,130,0,130,21278,21138,140,0.4787,0.0280,21668,25806,25857,20711,16700,8310,,-666666666,,17823,28,043
"Jefferson County, Mississippi",7346,3642,3704,979,6310,11,33,0,7,6,0,6,7346,7318,28,0.4982,0.0484,13374,27214,27676,,10943,,5127,-666666666,,,28,063
"Greene County, Mississippi",13714,8294,5420,10054,3496,53,0,0,4,107,2,105,13714,13552,162,0.4116,0.0350,17453,20991,21201,10773,7515,18168,-666666666,-666666666,,5207,28,041
"Marshall County, Mississippi",35787,17736,18051,17657,17134,15,24,0,640,317,0,317,35787,34506,1281,0.4503,0.0283,21352,25307,25598,17113,17423,21380,,-666666666,17557,21953,28,093
"Quitman County, Mississippi",7372,3476,3896,2027,5282,0,5,0,40,18,5,13,7372,7265,107,0.4690,0.0212,15353,22323,22550,10263,12695,-666666666,,-666666666,,,28,119
"Bolivar County, Mississippi",32592,15365,17227,10803,20941,41,213,0,363,231,33,198,32592,31891,701,0.5149,0.0254,17713,29241,28347,31752,11849,9854,29322,-666666666,12441,9178,28,011
"Lamar County, Mississippi",61223,29243,31980,46763,12240,80,780,0,340,1020,57,963,61223,59622,1601,0.4588,0.0249,28934,31815,32311,13780,18865,19074,28033,-666666666,15072,23757,28,073
"Lee County, Mississippi",84915,40526,44389,57379,24653,206,720,6,910,1041,219,822,84915,82687,2228,0.4701,0.0176,25467,29747,30084,12800,16888,11788,23671,,12065,8340,28,081
"Pike County, Mississippi",39737,18836,20901,17695,21263,153,239,4,103,280,0,280,39737,39051,686,0.5263,0.0281,17954,24250,24530,12604,12525,,45946,,21962,15664,28,113
"Tallahatchie County, Mississippi",14361,8012,6349,5082,7089,22,206,13,1915,34,30,4,14361,12383,1978,0.5138,0.0396,14943,25701,25931,,11670,,3200,,,,28,135
"Smith County, Mississippi",16063,7847,8216,12182,3706,0,69,30,4,72,0,72,16063,15793,270,0.4772,0.0417,23164,26031,26422,8800,13036,-666666666,94449,,,,28,129
"Stone County, Mississippi",18375,9367,9008,14373,3544,66,0,20,0,372,10,362,18375,18002,373,0.4449,0.0484,21931,24651,24948,13155,12930,16680,-666666666,,-666666666,4729,28,131
"Warren County, Mississippi",47075,22428,24647,22859,23138,105,241,9,160,563,39,524,47075,46052,1023,0.4663,0.0185,23793,32395,32636,19548,15567,64708,31635,,11051,5620,28,149
"Clarke County, Mississippi",15928,7443,8485,10113,5696,10,0,0,44,65,11,54,15928,15862,66,0.4762,0.0296,22422,27700,27729,,13160,,-666666666,-666666666,35291,6489,28,023
"Kemper County, Mississippi",10107,5170,4937,3571,6156,370,0,0,0,10,0,10,10107,9975,132,0.4562,0.0347,15518,21958,22703,,12098,10167,-666666666,-666666666,-666666666,,28,069
"Montgomery County, Mississippi",10198,4769,5429,5398,4428,0,34,0,45,293,2,291,10198,10063,135,0.5035,0.0600,22913,30572,30841,15253,14564,-666666666,,-666666666,18907,11277,28,097
"Oktibbeha County, Mississippi",49481,24863,24618,28538,18344,47,1546,20,170,816,29,787,49481,48663,818,0.5347,0.0188,22136,27741,27951,18587,13659,22547,24320,,20072,12848,28,105
"Pearl River County, Mississippi",55149,27263,27886,46341,7046,87,183,0,427,1065,95,970,55149,53476,1673,0.4342,0.0163,23135,24909,25080,16262,12387,,26523,-666666666,14266,20395,28,109
"Leake County, Mississippi",22870,11533,11337,11754,9608,1289,85,0,17,117,0,117,22870,21835,1035,0.4705,0.0205,17960,22488,24085,6598,13428,12654,10958,-666666666,,,28,079
"Noxubee County, Mississippi",10828,5127,5701,2940,7820,9,4,0,7,48,0,48,10828,10680,148,0.4659,0.0351,17637,25550,26615,4614,14753,,,-666666666,,,28,103
"Neshoba County, Mississippi",29376,13988,15388,17673,6196,4754,136,8,44,565,9,556,29376,28777,599,0.4700,0.0199,19641,23115,23553,9010,14142,15447,14582,,,7959,28,099
"Rankin County, Mississippi",151240,73041,78199,115013,31003,225,1738,41,1380,1840,132,1708,151240,147099,4141,0.4076,0.0109,29874,32637,32820,21486,20480,27677,34622,,19618,18185,28,121
"Tate County, Mississippi",28493,13828,14665,18908,8352,40,52,51,232,858,32,826,28493,27733,760,0.4373,0.0291,23542,27587,27978,14526,15368,89228,13965,,16369,13872,28,137
"Lawrence County, Mississippi",12630,6130,6500,8259,4193,10,16,0,55,97,0,97,12630,12551,79,0.4495,0.0253,21809,24721,24761,5142,16595,21200,,-666666666,,8739,28,077
"Panola County, Mississippi",34243,16549,17694,16645,17101,59,6,11,87,334,0,334,34243,33550,693,0.4598,0.0239,19972,26882,27362,12716,13668,,,,,2609,28,107
"Yalobusha County, Mississippi",12421,6085,6336,7220,5054,44,8,0,70,25,0,25,12421,12223,198,0.4005,0.0283,21140,24364,24363,23069,16210,,,-666666666,,,28,161
"Chickasaw County, Mississippi",17279,8331,8948,9063,7505,21,12,0,255,423,64,359,17279,16464,815,0.4621,0.0218,19556,25292,26065,8511,13574,,,-666666666,8068,9884,28,017
"Copiah County, Mississippi",28721,13704,15017,13047,14895,9,92,0,405,273,118,155,28721,27811,910,0.4556,0.0250,19434,27957,28474,12337,12348,,13982,-666666666,13704,9035,28,029
"George County, Mississippi",23710,12008,11702,21185,1908,227,98,0,149,143,9,134,23710,23058,652,0.4442,0.0395,21105,22345,22723,7300,10531,,18204,-666666666,4318,15430,28,039
"Hinds County, Mississippi",241774,112877,128897,62129,174698,264,1897,53,1235,1498,84,1414,241774,238033,3741,0.4732,0.0105,23114,37866,38482,15283,17981,27210,24569,37892,9693,17837,28,049
"Newton County, Mississippi",21524,10142,11382,13436,6519,1109,110,0,64,286,77,209,21524,21122,402,0.5074,0.0626,21600,26867,27212,9601,13703,9241,15516,-666666666,9083,7213,28,101
"Union County, Mississippi",28356,13942,14414,22687,4172,17,112,49,705,614,19,595,28356,27148,1208,0.4214,0.0181,20088,21491,21719,14356,15019,7047,,,17133,8833,28,145
"Sharkey County, Mississippi",4511,2147,2364,1132,3337,6,28,0,8,0,0,0,4511,4506,5,0.4779,0.0363,17877,33461,33461,,12664,,,-666666666,,-666666666,28,125
"Tippah County, Mississippi",21990,10673,11317,17301,3755,17,82,12,522,301,86,215,21990,20967,1023,0.4444,0.0264,20180,22248,22484,12107,12904,,,,12547,11290,28,139
"Forrest County, Mississippi",75517,35944,39573,44901,27900,132,678,31,178,1697,85,1612,75517,73271,2246,0.4891,0.0250,22042,26942,27416,15408,15361,6823,11406,2406,10058,9302,28,035
"Hancock County, Mississippi",46653,22779,23874,40709,3776,272,332,0,385,1179,102,1077,46653,44861,1792,0.4495,0.0261,26659,28033,28160,22043,17498,16378,26430,-666666666,32689,9031,28,045
"Lafayette County, Mississippi",53459,25974,27485,38345,12726,82,1117,17,550,622,85,537,53459,52048,1411,0.5105,0.0213,26154,29399,29750,19968,17483,,21635,,25885,14576,28,071
"Issaquena County, Mississippi",1328,807,521,521,799,0,0,0,8,0,0,0,1328,1312,16,0.5841,0.1425,18942,21566,21903,,17385,-666666666,-666666666,-666666666,,-666666666,28,055
"Lowndes County, Mississippi",59437,28365,31072,31869,25961,113,539,17,182,756,42,714,59437,58225,1212,0.4665,0.0173,24499,31952,32382,18611,15693,22154,27792,,15826,13183,28,087
"Leflore County, Mississippi",29804,13916,15888,7209,21859,0,183,0,302,251,0,251,29804,29018,786,0.5765,0.0362,16861,33977,35798,17542,10959,-666666666,20168,-666666666,29615,21414,28,083
"Wilkinson County, Mississippi",8990,4816,4174,2517,6402,0,7,0,30,34,0,34,8990,8953,37,0.4697,0.0454,13231,22128,22203,,9830,-666666666,,-666666666,,,28,157
"Harrison County, Mississippi",202626,99750,102876,138089,49879,1122,5721,84,2070,5661,332,5329,202626,191594,11032,0.4581,0.0102,24445,27345,27889,18816,17366,25126,24948,15598,20802,16889,28,047
"Jefferson Davis County, Mississippi",11495,5543,5952,4360,7036,0,20,0,11,68,0,68,11495,11461,34,0.5017,0.0282,19233,25401,25467,,15174,-666666666,,-666666666,,34538,28,065
"Lincoln County, Mississippi",34432,16255,18177,23505,10700,4,160,0,0,63,0,63,34432,34057,375,0.4756,0.0220,21892,25974,26200,13085,13101,,12733,-666666666,-666666666,,28,085
"Scott County, Mississippi",28415,13870,14545,16565,10889,136,84,0,610,131,0,131,28415,25267,3148,0.5323,0.0458,21640,26973,29754,12118,14012,11133,50880,-666666666,15126,3848,28,123
"Winston County, Mississippi",18358,8942,9416,9241,8769,112,6,0,135,95,8,87,18358,18133,225,0.5283,0.0574,24538,32812,32913,8168,16281,17907,,-666666666,,,28,159
"Yazoo County, Mississippi",27974,15543,12431,10583,15929,143,120,0,554,645,122,523,27974,26169,1805,0.5377,0.0510,18866,23177,23830,9138,16998,13753,25210,-666666666,3355,7561,28,163
"Benton County, Mississippi",8253,4122,4131,5058,2956,0,0,0,104,135,21,114,8253,8040,213,0.4742,0.0498,20363,21671,21778,11770,19154,-666666666,-666666666,-666666666,12125,4183,28,009
"Franklin County, Mississippi",7757,3706,4051,4926,2793,0,3,0,2,33,0,33,7757,7706,51,0.4643,0.0280,22769,26316,26461,,16690,-666666666,,-666666666,,,28,037
"Jasper County, Mississippi",16529,8048,8481,7408,8997,1,0,0,57,66,0,66,16529,16465,64,0.4846,0.0298,21929,31420,31420,37408,14399,,-666666666,-666666666,,2232,28,061
"Jones County, Mississippi",68454,33352,35102,47003,19989,159,231,36,288,748,29,719,68454,65461,2993,0.4783,0.0200,22836,27209,28019,13014,13121,15578,42265,,7500,8697,28,067
"Monroe County, Mississippi",35840,17107,18733,24396,11070,9,30,0,14,321,0,321,35840,35402,438,0.4685,0.0200,23158,26348,26515,16068,16711,,16793,-666666666,,4952,28,095
"Sunflower County, Mississippi",26532,13927,12605,6638,19623,113,21,0,51,86,9,77,26532,26075,457,0.5042,0.0206,15464,27082,28129,7096,11576,11796,6952,-666666666,11831,14750,28,133
"Webster County, Mississippi",9828,4788,5040,7805,1895,9,14,0,6,99,6,93,9828,9684,144,0.4588,0.0306,21109,23016,23241,9949,13913,,18536,-666666666,,11065,28,155
"Adams County, Mississippi",31547,16217,15330,12782,17855,75,183,0,225,427,55,372,31547,29771,1776,0.5368,0.0241,17851,25227,27943,3366,13154,6993,5827,-666666666,,9896,28,001
"Clay County, Mississippi",19808,9177,10631,7845,11807,59,26,0,0,71,0,71,19808,19671,137,0.4919,0.0362,21076,30597,30859,,14911,,,-666666666,-666666666,13220,28,025
"Covington County, Mississippi",19091,9252,9839,11656,7215,0,28,17,0,175,0,175,19091,18999,92,0.4355,0.0287,18353,22125,21899,52954,12377,-666666666,,,-666666666,6480,28,031
"Humphreys County, Mississippi",8539,3990,4549,1848,6489,14,6,3,179,0,0,0,8539,8272,267,0.5034,0.0298,16604,32546,33369,17679,11846,,59233,,22003,-666666666,28,053
"Saline County, Missouri",23102,11559,11543,19781,1090,87,204,247,826,867,206,661,23102,20806,2296,0.4354,0.0251,22802,24501,25056,12564,14987,45631,19028,5322,8926,10661,29,195
"Madison County, Missouri",12205,6049,6156,11852,123,34,30,0,0,166,0,166,12205,11914,291,0.4373,0.0338,22119,22455,22485,21268,,21215,45840,-666666666,-666666666,4273,29,123
"Wright County, Missouri",18293,9029,9264,17629,105,68,88,0,187,216,0,216,18293,17969,324,0.4908,0.0305,19909,18955,19088,9770,131513,9104,125239,-666666666,15228,8012,29,229
"Vernon County, Missouri",20691,10088,10603,19771,184,127,138,0,33,438,25,413,20691,20257,434,0.4589,0.0599,24388,24906,25079,13913,9022,20260,21259,-666666666,43600,8232,29,217
"Nodaway County, Missouri",22547,11225,11322,21111,637,47,310,29,107,306,52,254,22547,22173,374,0.4591,0.0238,22151,22710,22861,6369,16069,5289,15987,,4791,10272,29,147
"Chariton County, Missouri",7546,3764,3782,7212,183,7,0,0,0,144,0,144,7546,7508,38,0.4478,0.0288,24470,25122,25135,25668,13849,,-666666666,-666666666,-666666666,5611,29,041
"Grundy County, Missouri",10039,4906,5133,9618,52,130,36,19,34,150,20,130,10039,9804,235,0.4361,0.0391,23249,23786,23857,16086,3746,23485,1267,,9382,5440,29,079
"Morgan County, Missouri",20137,9945,10192,19279,161,100,183,0,143,271,2,269,20137,19691,446,0.4666,0.0385,21265,21750,21871,9698,14361,,9130,-666666666,,16809,29,141
"Wayne County, Missouri",13308,6544,6764,12868,74,51,45,0,1,269,8,261,13308,13078,230,0.4427,0.0336,18759,18922,18981,15210,34354,23880,10929,-666666666,,7055,29,223
"Bollinger County, Missouri",12281,6140,6141,11970,68,100,41,0,0,102,0,102,12281,12145,136,0.4113,0.0247,20949,21019,21087,15096,4559,26291,18046,-666666666,-666666666,19633,29,017
"Cape Girardeau County, Missouri",78324,37932,40392,68709,5894,153,1244,25,199,2100,118,1982,78324,76536,1788,0.4552,0.0222,26546,28132,28141,22333,17054,55308,11246,,23348,8877,29,031
"Shelby County, Missouri",6061,3047,3014,5868,117,5,9,0,14,48,20,28,6061,5945,116,0.4211,0.0235,23501,24053,24253,9973,5108,,21478,-666666666,,3106,29,205
"Webster County, Missouri",38082,19436,18646,36436,437,175,142,71,174,647,90,557,38082,37317,765,0.4132,0.0217,21682,21709,21882,12487,15275,34491,23383,,24846,22202,29,225
"Atchison County, Missouri",5270,2615,2655,5150,20,26,21,0,15,38,0,38,5270,5204,66,0.4172,0.0190,29009,29137,29105,38086,20885,16515,7848,-666666666,57793,24834,29,005
"Bates County, Missouri",16374,8014,8360,15637,238,100,37,8,115,239,24,215,16374,16022,352,0.4537,0.0590,27035,27707,27940,10659,15696,12114,17419,,10400,10550,29,013
"Benton County, Missouri",18989,9354,9635,18259,54,206,13,10,42,405,16,389,18989,18613,376,0.4870,0.0582,23984,24446,24597,8634,16528,14237,,,,11629,29,015
"Carter County, Missouri",6197,3010,3187,5900,3,60,0,0,0,234,5,229,6197,6049,148,0.4526,0.0346,21884,22626,22740,8751,,11468,-666666666,-666666666,-666666666,6032,29,035
"Dade County, Missouri",7590,3884,3706,7236,21,67,11,5,40,210,4,206,7590,7434,156,0.4078,0.0192,21538,21796,21944,15644,,11933,,,24903,17640,29,057
"Linn County, Missouri",12186,5861,6325,11783,70,19,36,5,39,234,17,217,12186,11916,270,0.4190,0.0309,24150,24221,24376,25037,14831,14079,57939,,77636,10357,29,115
"Howell County, Missouri",40102,19640,20462,38602,188,216,178,0,32,886,0,886,40102,39254,848,0.4693,0.0192,20873,20750,20846,15236,6101,32529,52989,-666666666,,20599,29,091
"Johnson County, Missouri",53689,27715,25974,47847,2329,281,936,168,286,1842,65,1777,53689,51429,2260,0.3886,0.0164,24146,24989,25177,20072,18487,17081,19138,16005,28724,13064,29,101
"Laclede County, Missouri",35507,17578,17929,33803,196,273,117,6,106,1006,111,895,35507,34661,846,0.4087,0.0211,21577,21569,21810,16673,19349,26084,13241,,48437,19207,29,105
"Maries County, Missouri",8884,4449,4435,8732,21,73,22,0,0,36,0,36,8884,8651,233,0.4332,0.0290,23729,23958,24102,18698,9448,10996,,-666666666,-666666666,11211,29,125
"Phelps County, Missouri",44789,23541,21248,40575,1206,375,1683,0,117,833,3,830,44789,43684,1105,0.4832,0.0162,24304,24826,24848,20010,10773,24292,27992,-666666666,12156,12750,29,161
"Platte County, Missouri",98824,48720,50104,84678,6636,410,2676,77,887,3460,272,3188,98824,93003,5821,0.4291,0.0157,39427,41482,42347,26111,30306,44774,30577,18694,28341,16153,29,165
"St. Francois County, Missouri",66342,35900,30442,61654,2955,204,342,0,177,1010,154,856,66342,65320,1022,0.4278,0.0164,22575,23157,23065,33847,10759,27587,25399,-666666666,10199,21845,29,187
"Andrew County, Missouri",17403,8720,8683,16646,349,29,50,103,22,204,36,168,17403,16990,413,0.4149,0.0186,28027,28487,28512,21833,18250,37752,22038,,,10407,29,003
"Carroll County, Missouri",8843,4330,4513,8457,200,21,19,0,17,129,0,129,8843,8705,138,0.4603,0.0215,24597,25293,25312,21379,12275,,,-666666666,12424,6806,29,033
"Daviess County, Missouri",8302,4187,4115,8066,85,27,12,6,25,81,3,78,8302,8173,129,0.4196,0.0220,24081,24442,24570,15878,9989,13074,15983,,26784,8810,29,061
"Knox County, Missouri",3951,1989,1962,3812,21,0,18,18,20,62,7,55,3951,3911,40,0.4607,0.0635,22020,22451,22472,6833,15429,-666666666,,,8630,8319,29,103
"Marion County, Missouri",28672,13745,14927,26266,1167,110,201,54,69,805,0,805,28672,28177,495,0.4258,0.0154,23589,24195,24311,15143,20836,12370,34155,,23871,5287,29,127
"Osage County, Missouri",13619,7076,6543,13333,39,91,9,0,51,96,22,74,13619,13511,108,0.3756,0.0214,26037,26329,26225,35916,6023,24522,,-666666666,,4047,29,151
"Ripley County, Missouri",13693,6817,6876,13184,52,64,33,33,30,297,23,274,13693,13509,184,0.4270,0.0281,17502,17675,17875,4883,,15314,32527,,,13074,29,181
"Warren County, Missouri",33908,16714,17194,31694,707,88,213,32,495,679,18,661,33908,32790,1118,0.4258,0.0220,27523,28511,28481,20175,10142,42556,28634,,9592,11400,29,219
"Audrain County, Missouri",25735,11768,13967,22929,1569,103,46,23,129,936,166,770,25735,24968,767,0.4391,0.0334,21819,22929,23274,9680,14444,9751,16187,24574,11491,9958,29,007
"Christian County, Missouri",84275,40995,43280,80364,676,510,497,44,383,1801,105,1696,84275,81859,2416,0.4090,0.0158,27024,27553,27736,16160,10445,21156,24784,,11061,15218,29,043
"Greene County, Missouri",288429,140366,148063,260190,9482,1415,5573,208,2911,8650,513,8137,288429,277999,10430,0.4659,0.0079,26378,27453,27625,18148,14387,31831,22459,17990,13138,13469,29,077
"Harrison County, Missouri",8554,4263,4291,8236,76,14,8,0,85,135,10,125,8554,8369,185,0.4018,0.0163,20986,21484,21627,7252,6089,18179,16313,-666666666,,8433,29,081
"St. Clair County, Missouri",9383,4663,4720,8978,70,69,19,0,5,242,0,242,9383,9264,119,0.4333,0.0226,22672,23048,23153,16367,7471,4564,,-666666666,,19184,29,185
"Adair County, Missouri",25325,12215,13110,23100,870,52,608,63,71,561,100,461,25325,24988,337,0.5131,0.0349,22000,22574,22703,11466,16010,11902,13784,,67394,7377,29,001
"Scotland County, Missouri",4898,2399,2499,4772,79,0,0,0,0,47,0,47,4898,4898,0,0.4938,0.0490,23809,24255,24255,-666666666,1030,-666666666,-666666666,-666666666,-666666666,16796,29,199
"Sullivan County, Missouri",6317,3052,3265,5773,184,43,6,12,222,77,2,75,6317,5167,1150,0.4110,0.0412,21661,21585,22355,18404,29632,10093,,,19504,23816,29,211
"Clark County, Missouri",6800,3447,3353,6598,23,24,28,0,0,127,0,127,6800,6787,13,0.4590,0.0439,28537,29056,29056,,11404,29146,,-666666666,-666666666,10898,29,045
"Jefferson County, Missouri",223302,110887,112415,214439,2034,652,1646,43,539,3949,278,3671,223302,219051,4251,0.3890,0.0088,28844,29120,29221,20687,19436,65249,30940,30593,11449,14177,29,099
"Lewis County, Missouri",10027,5100,4927,9454,330,77,2,11,0,153,15,138,10027,9850,177,0.4233,0.0249,22602,23116,23259,15268,20444,5783,,2736,-666666666,5492,29,111
"New Madrid County, Missouri",17811,8558,9253,14505,2802,68,5,0,28,403,15,388,17811,17492,319,0.4543,0.0205,20638,22388,22530,14256,14187,,,-666666666,15539,5692,29,143
"Perry County, Missouri",19146,9457,9689,18623,56,79,133,0,42,213,0,213,19146,18718,428,0.3754,0.0152,24710,25003,25166,18701,7068,15948,19083,-666666666,,12815,29,157
"Ralls County, Missouri",10217,5178,5039,9875,137,54,52,2,11,86,0,86,10217,10091,126,0.3961,0.0417,26536,26822,26944,16330,23142,21811,25613,,,6415,29,173
"Ray County, Missouri",22825,11357,11468,21883,395,114,38,1,51,343,31,312,22825,22278,547,0.4056,0.0166,27768,28199,28481,14394,13492,26651,75716,,5712,15130,29,177
"St. Louis County, Missouri",998684,473610,525074,682964,240312,1821,41601,290,8054,23642,1134,22508,998684,970381,28303,0.4904,0.0043,39784,46700,47134,27672,21835,27841,47019,33148,20522,17267,29,189
"Stone County, Missouri",31527,15409,16118,30378,50,331,47,28,259,434,0,434,31527,30833,694,0.4607,0.0304,27792,28168,28391,17950,10462,19820,25183,,26159,11222,29,209
"Barry County, Missouri",35493,17823,17670,33210,57,286,404,0,488,1048,0,1048,35493,32231,3262,0.4506,0.0293,21960,22002,22962,12090,6189,15408,35251,-666666666,16872,20528,29,009
"Boone County, Missouri",176515,85827,90688,143130,15504,579,7886,217,1804,7395,354,7041,176515,170565,5950,0.4673,0.0105,29365,31386,31717,18415,19172,13411,30140,18997,21877,14178,29,019
"Cedar County, Missouri",13938,6961,6977,13447,6,5,38,31,31,380,31,349,13938,13638,300,0.4534,0.0426,22434,22864,23094,9284,,,,,,11522,29,039
"Crawford County, Missouri",24280,11969,12311,23477,70,0,34,0,153,546,0,546,24280,23808,472,0.4420,0.0222,21107,21414,21558,13002,8354,-666666666,44547,-666666666,16969,9229,29,055
"Iron County, Missouri",10221,5029,5192,9777,124,74,19,8,0,219,20,199,10221,10044,177,0.4317,0.0242,20696,20919,20835,21651,16639,9193,,,-666666666,13605,29,093
"Livingston County, Missouri",15076,6813,8263,14145,409,81,80,22,59,280,18,262,15076,14811,265,0.4268,0.0211,23083,23883,24166,2484,12596,20449,22986,,3758,4199,29,117
"Moniteau County, Missouri",15958,8413,7545,14779,601,89,28,0,192,269,6,263,15958,15222,736,0.4033,0.0231,22445,23397,23738,15401,4898,35244,,-666666666,20322,2433,29,135
"Oregon County, Missouri",10699,5376,5323,10220,16,156,44,27,41,195,0,195,10699,10515,184,0.4448,0.0263,18103,18112,18196,11087,,7892,,,7156,20367,29,149
"Dunklin County, Missouri",30428,14623,15805,25614,2961,121,131,4,917,680,21,659,30428,28443,1985,0.4807,0.0214,19818,21419,21888,7771,12620,8404,,,4902,15829,29,069
"Pettis County, Missouri",42371,20918,21453,38606,1335,59,193,0,895,1283,193,1090,42371,38696,3675,0.4351,0.0175,22897,23180,23840,13651,13473,36551,47055,-666666666,15485,25123,29,159
"Ste. Genevieve County, Missouri",17871,8979,8892,17277,316,0,102,0,20,156,0,156,17871,17668,203,0.3986,0.0229,28578,28962,28992,26599,11497,-666666666,44143,-666666666,31325,10035,29,186
"Randolph County, Missouri",24945,13102,11843,22485,1471,132,120,15,97,625,52,573,24945,24435,510,0.4243,0.0182,20836,21741,21895,12454,14470,8152,13978,,18330,7979,29,175
"Franklin County, Missouri",102781,51339,51442,98768,698,204,562,38,537,1974,266,1708,102781,101033,1748,0.4284,0.0140,28773,29027,29031,23465,21451,31350,37006,,19234,19017,29,071
"Howard County, Missouri",10113,5042,5071,9277,531,54,18,0,43,190,0,190,10113,9960,153,0.4010,0.0175,23328,24222,24309,13447,14483,16389,58650,-666666666,,6916,29,089
"Jackson County, Missouri",692003,334604,357399,461134,163422,2656,12844,1990,28316,21641,2291,19350,692003,630693,61310,0.4657,0.0053,30237,35285,36369,16427,21221,25599,25497,29179,13463,16187,29,095
"Miller County, Missouri",25049,12314,12735,24104,111,237,108,0,161,328,11,317,25049,24579,470,0.4493,0.0238,23408,24022,24187,9077,5349,12810,1735,-666666666,4628,8459,29,131
"Pulaski County, Missouri",52591,30025,22566,39219,6480,535,1447,160,2042,2708,272,2436,52591,46822,5769,0.3836,0.0216,22018,23024,23000,19633,20577,32369,23476,13550,18628,11138,29,169
"Putnam County, Missouri",4815,2389,2426,4640,13,9,30,0,0,123,0,123,4815,4808,7,0.4490,0.0444,22607,22788,22794,,,,29347,-666666666,-666666666,2967,29,171
"Taney County, Missouri",54720,26504,28216,50445,681,511,474,21,1239,1349,195,1154,54720,51567,3153,0.4165,0.0156,22106,22347,22739,13791,15440,16279,49095,,18189,12697,29,213
"Texas County, Missouri",25671,13397,12274,23880,579,573,121,0,60,458,5,453,25671,25132,539,0.4640,0.0316,19485,20038,20210,10530,4988,15871,42856,-666666666,,9438,29,215
"Buchanan County, Missouri",89076,44691,44385,77914,5019,294,918,208,1466,3257,281,2976,89076,83296,5780,0.4405,0.0133,25419,26270,26743,18868,19127,22890,40683,5247,23737,12724,29,021
"Caldwell County, Missouri",9049,4585,4464,8688,47,60,46,0,31,177,33,144,9049,8855,194,0.4107,0.0270,24238,24604,24561,22065,12717,27165,29202,-666666666,10932,9354,29,025
"Callaway County, Missouri",44840,22874,21966,41180,1932,232,391,225,140,740,67,673,44840,43921,919,0.3938,0.0147,25069,25998,26081,20676,11757,48648,16491,,2074,12044,29,027
"Cass County, Missouri",102678,50364,52314,93925,3713,630,825,37,707,2841,250,2591,102678,98260,4418,0.3982,0.0101,31675,31999,32268,25999,38088,28748,24078,30614,43169,12577,29,037
"Clinton County, Missouri",20475,10266,10209,19489,380,201,49,5,107,244,11,233,20475,20054,421,0.3921,0.0183,28216,28683,28600,29583,25881,17142,,,24619,9561,29,049
"Cooper County, Missouri",17622,9214,8408,15691,1123,50,47,13,113,585,58,527,17622,17285,337,0.4074,0.0137,22895,24397,24497,15734,10668,27178,9481,,16941,8270,29,053
"Dallas County, Missouri",16499,8212,8287,15908,8,176,67,0,33,307,2,305,16499,16165,334,0.4668,0.0542,22096,22349,22670,7545,,15794,34718,-666666666,22718,10290,29,059
"Gentry County, Missouri",6665,3218,3447,6495,46,21,39,4,12,48,0,48,6665,6566,99,0.4144,0.0229,21059,21208,21336,10591,12589,19257,32938,,,4460,29,075
"Hickory County, Missouri",9368,4551,4817,9015,9,155,8,4,41,136,0,136,9368,9217,151,0.4117,0.0189,20646,20958,20809,31517,3522,5441,,,27480,16970,29,085
"Lincoln County, Missouri",55563,27526,28037,52635,1061,153,214,15,431,1054,82,972,55563,54233,1330,0.4031,0.0144,25472,25994,26118,15124,19598,33785,15975,,7324,13800,29,113
"Mississippi County, Missouri",13748,7575,6173,10065,3322,131,7,6,6,211,17,194,13748,13466,282,0.4931,0.0347,18462,21252,21652,4207,10415,15659,,,,13233,29,133
"Monroe County, Missouri",8654,4402,4252,8195,306,18,38,15,0,82,4,78,8654,8512,142,0.4133,0.0380,24625,25248,25501,11751,14381,,11668,,-666666666,13134,29,137
"Newton County, Missouri",58202,28964,29238,52821,571,1334,807,553,247,1869,93,1776,58202,55143,3059,0.4631,0.0259,26996,27944,28618,14909,18172,22742,18540,9425,18699,15867,29,145
"Ozark County, Missouri",9236,4592,4644,8884,3,41,32,0,45,231,0,231,9236,9075,161,0.4518,0.0321,18818,19303,19389,5185,,,,-666666666,7907,7101,29,153
