NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_002E,B03003_003E,B19083_001E,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Los Angeles County, California",9974203,4913688,5060515,5329333,832253,54409,1394349,26074,1949940,387845,111506,276339,5173712,4800491,0.4992,27987,33336,49311,15782,24159,20588,31034,22639,14469,21111,06,037
"Madera County, California",152452,73450,79002,125830,5382,2287,3335,254,10254,5110,1859,3251,68443,84009,0.4441,17797,18609,27325,11763,11102,14621,24555,9945,13079,11716,06,039
"Marin County, California",256802,125838,130964,203975,6913,674,14565,593,19664,10418,1938,8480,216388,40414,0.5218,58004,66107,69865,21100,24406,22002,47886,28441,15020,20944,06,041
"Mariposa County, California",17946,9050,8896,15850,155,598,232,74,399,638,53,585,16217,1729,0.4507,28327,29357,30386,14817,14389,17373,32155,,14889,23328,06,043
"Mendocino County, California",87612,43979,43633,72141,705,4169,1570,186,5536,3305,465,2840,67280,20332,0.4712,23712,25773,28704,12324,10231,13334,19082,16368,12072,16812,06,045
"Merced County, California",261609,131899,129710,168794,9115,2024,19842,572,50949,10313,4246,6067,114339,147270,0.4607,18464,20595,29352,12878,17841,17105,17651,21609,13650,9575,06,047
"Modoc County, California",9335,4727,4608,8396,108,236,52,0,131,412,17,395,7990,1345,0.4465,21830,23013,25028,9209,3289,9051,23992,-666666666,10118,13350,06,049
"Mono County, California",14193,7520,6673,11993,63,380,116,132,1270,239,35,204,10350,3843,0.3534,29578,32224,36386,13675,9162,12866,49666,,9594,33835,06,051
"Monterey County, California",424927,218060,206867,319839,11826,4161,26497,2183,44818,15603,3839,11764,185026,239901,0.4579,25048,26599,44123,14173,21971,14758,28679,28467,15503,19101,06,053
"Napa County, California",139253,69301,69952,107543,2992,696,10362,356,12354,4950,1668,3282,93316,45937,0.4585,35092,38221,46277,18134,29775,24209,32344,40442,18123,19569,06,055
"Nevada County, California",98606,48812,49794,91335,358,978,1476,165,1632,2662,510,2152,89855,8751,0.4418,32117,32931,34015,18048,18497,26392,27635,22240,12112,23508,06,057
