NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_002E,B03003_003E,B19083_001E,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Orange County, California",3086331,1525071,1561260,1942675,50766,11852,573661,9472,387005,110900,23780,87120,2035560,1050771,0.4637,34416,39559,49201,17542,32437,24172,32941,31804,15446,20373,06,059
"Placer County, California",361518,176490,185028,303509,4652,2372,23317,701,10753,16214,2473,13741,313718,47800,0.4361,35711,36950,38656,20825,36713,38967,40368,25886,18036,17209,06,061
"Plumas County, California",19286,9754,9532,17273,135,533,198,160,239,748,85,663,17692,1594,0.4660,29167,30463,31061,17237,16754,21837,20243,16136,15779,16130,06,063
"Riverside County, California",2266899,1127924,1138975,1480532,141350,22045,138538,7152,379932,97350,28518,68832,1211872,1055027,0.4437,23660,26594,34483,14812,22465,20100,26508,19792,14142,14947,06,065
"Sacramento County, California",1450277,709679,740598,865905,146236,12376,214861,14533,101936,94430,15998,78432,1130343,319934,0.4518,27071,31498,35099,17009,20293,21167,24490,19626,17707,14877,06,067
"San Benito County, California",56888,28428,28460,48133,574,413,1205,84,4209,2270,752,1518,24231,32657,0.4085,26317,27270,39033,18129,41012,17530,31584,9292,18355,16597,06,069
"San Bernardino County, California",2078586,1033761,1044825,1306230,180267,18520,136494,7172,339031,90872,25729,65143,1028413,1050173,0.4383,21384,23109,30604,15093,19626,17680,28743,19071,14964,13919,06,071
"San Diego County, California",3183143,1598266,1584877,2259494,160316,21329,357998,14343,215265,154398,28403,125995,2143391,1039752,0.4654,31043,33784,41850,17049,24522,25053,31978,22672,16019,18091,06,073
"San Francisco County, California",829072,421516,407556,410245,47611,3124,278274,3566,49540,36712,5755,30957,702548,126524,0.5156,49986,67414,74330,28168,25808,28752,36402,26197,23613,29268,06,075
"San Joaquin County, California",701050,348616,352434,405458,50377,6034,102469,3980,80481,52251,8267,43984,422527,278523,0.4476,22642,26126,33609,14516,19231,17495,20639,21752,15047,15178,06,077
"San Luis Obispo County, California",274184,139946,134238,231961,5791,2045,10205,85,15160,8937,1312,7625,215295,58889,0.4551,30392,32424,35301,17194,20469,22621,24426,22380,14541,19631,06,079
"San Mateo County, California",739837,363891,375946,417138,19503,2524,192649,10463,61897,35663,6830,28833,552202,187635,0.4829,47198,55537,67294,22547,31050,28956,44696,23797,20203,27029,06,081
"Santa Barbara County, California",431555,216370,215185,319490,8471,4372,21738,832,58911,17741,4633,13108,242812,188743,0.4851,30526,34355,44866,15962,25097,23745,29148,32182,15565,17129,06,083
"Santa Clara County, California",1841569,924848,916721,907336,48660,9658,610916,6739,174427,83833,18593,65240,1349023,492546,0.4627,42666,48890,61344,19905,29155,24009,44413,27513,18450,24155,06,085
"Santa Cruz County, California",267203,132817,134386,215832,2459,1610,11686,384,24084,11148,2464,8684,179797,87406,0.4686,33050,35941,43569,15492,34899,22391,32764,20388,14897,18181,06,087
"Shasta County, California",178520,87692,90828,155559,1759,4214,4462,326,4025,8175,903,7272,162612,15908,0.4464,23763,25057,25749,14636,12059,17888,19402,16837,14663,11835,06,089
"Sierra County, California",3019,1481,1538,2793,4,21,3,16,126,56,0,56,2736,283,0.4618,28030,28862,29508,12245,6700,56062,,,5049,37184,06,091
"Siskiyou County, California",44261,22021,22240,38114,574,1326,627,233,652,2735,154,2581,39338,4923,0.4535,22482,23738,24924,11976,20487,10821,15628,7664,16124,15395,06,093
"Solano County, California",421624,209901,211723,226669,59510,2340,63233,3654,36770,29448,5281,24167,316759,104865,0.4194,29132,33513,38594,17900,25328,24479,30227,25119,16773,17047,06,095
"Sonoma County, California",491790,241329,250461,387044,7490,6119,19811,1873,49266,20187,3354,16833,366116,125674,0.4510,33361,37002,40971,16960,21413,19783,30192,23258,16105,18253,06,097
"Stanislaus County, California",522794,258618,264176,396628,14456,4251,27581,3873,52446,23559,6207,17352,297781,225013,0.4493,21729,23067,29229,13716,21837,17678,24230,16198,13841,15416,06,099
"Sutter County, California",95067,47263,47804,65256,1925,1250,13904,303,7089,5340,899,4441,67136,27931,0.4552,23828,26782,32073,13307,24002,16260,19272,20047,14803,13490,06,101
"Tehama County, California",63284,31494,31790,54972,315,1548,805,70,3006,2568,584,1984,48745,14539,0.4269,21002,21922,23912,13198,12821,15681,24515,17010,12817,14114,06,103
"Trinity County, California",13515,6885,6630,11917,110,387,159,74,116,752,13,739,12555,960,0.4517,23145,24244,24469,18681,17761,12016,20368,5964,18695,15202,06,105
"Tulare County, California",451108,225881,225227,365823,7884,5739,14982,507,40340,15833,5233,10600,172086,279022,0.4588,17888,18613,29442,11726,15299,12741,24264,19719,12816,11131,06,107
"Tuolumne County, California",54347,28423,25924,47833,1018,906,770,108,1896,1816,206,1610,48299,6048,0.4378,26063,27802,28578,16339,9124,18296,22095,33869,9067,12595,06,109
"Ventura County, California",835790,414278,421512,649278,15035,5961,58479,1384,70998,34655,8476,26179,491270,344520,0.4429,33308,35079,46110,17680,32876,28240,41383,28028,18213,18702,06,111
"Yolo County, California",204162,99528,104634,134790,5314,2113,26954,1164,21710,12117,2931,9186,140913,63249,0.4815,28080,32389,37898,16590,22071,21881,22325,23985,16419,17957,06,113
"Yuba County, California",73059,37020,36039,51133,2378,1144,5149,257,7472,5526,1571,3955,53878,19181,0.4174,19586,21859,23806,12645,19306,19849,15036,17430,13459,11235,06,115
"Adams County, Colorado",461558,232139,229419,376581,14816,4758,17191,663,31596,15953,4340,11613,284324,177234,0.4047,24667,26174,32107,15374,19399,18588,21639,16062,15032,18505,08,001
"Alamosa County, Colorado",16111,7879,8232,13666,294,317,285,15,895,639,197,442,8772,7339,0.5202,19481,20498,26016,13053,7185,9632,19890,,12542,18167,08,003
"Arapahoe County, Colorado",596684,293092,303592,439517,60541,3908,31069,1179,33098,27372,6474,20898,485963,110721,0.4623,33574,37866,41375,16710,23648,21499,29011,23043,15669,15615,08,005
"Archuleta County, Colorado",12132,6116,6016,10629,65,270,99,8,835,226,91,135,9923,2209,0.4281,28506,30200,31810,16561,11977,23496,14786,,14558,16919,08,007
"Baca County, Colorado",3735,1814,1921,3575,58,38,6,3,17,38,6,32,3378,357,0.4474,22558,23175,23368,20518,10966,6937,,,3394,10892,08,009
"Bent County, Colorado",6000,4056,1944,4845,724,157,56,0,128,90,19,71,4137,1863,0.4481,15402,17658,20521,12218,714,985,46261,-666666666,15432,18019,08,011
"Boulder County, Colorado",305166,153300,151866,267572,2821,1599,12746,160,11193,9075,1147,7928,263684,41482,0.4758,38524,40726,43248,16809,22239,18324,33099,72325,14895,18409,08,013
"Broomfield County, Colorado",59027,29245,29782,51294,590,230,3541,0,1302,2070,209,1861,52158,6869,0.4232,38706,40257,42061,22907,26258,25463,36940,-666666666,24927,16997,08,014
"Chaffee County, Colorado",18121,9563,8558,16979,417,175,58,0,188,304,128,176,16319,1802,0.4192,27467,28523,30283,10710,2794,16209,17741,-666666666,16850,17194,08,015
"Cheyenne County, Colorado",2153,1065,1088,2084,7,6,29,0,6,21,5,16,1826,327,0.3911,23415,23623,25885,10208,20171,,25593,-666666666,,,08,017
"Clear Creek County, Colorado",9114,4704,4410,8601,130,65,83,0,124,111,9,102,8636,478,0.4655,42446,43253,44109,17201,17844,,,-666666666,18937,66601,08,019
"Conejos County, Colorado",8276,4110,4166,7417,8,141,8,0,317,385,54,331,3746,4530,0.4257,18247,18762,21135,15986,13150,19909,13475,-666666666,16078,9710,08,021
"Costilla County, Colorado",3578,1885,1693,3207,0,25,27,0,89,230,5,225,1258,2320,0.4943,20592,20457,28600,16224,-666666666,22868,42781,-666666666,16975,21022,08,023
"Crowley County, Colorado",5558,3521,2037,4621,438,151,31,13,166,138,13,125,3907,1651,0.4565,11726,13458,14440,11201,117,1453,17184,,11146,2384,08,025
"Custer County, Colorado",4274,2183,2091,4102,91,0,9,2,22,48,0,48,4140,134,0.4970,25842,26356,26897,7685,13876,-666666666,,,18036,11406,08,027
"Delta County, Colorado",30378,15295,15083,28820,328,203,184,0,473,370,101,269,25988,4390,0.4819,24590,25176,27158,12741,415,9902,16367,-666666666,19653,18803,08,029
"Denver County, Colorado",633777,316841,316936,473269,61868,7045,22301,613,46828,21853,4754,17099,436017,197760,0.5058,34423,39333,48797,15887,21021,20195,28676,28250,14716,18896,08,031
"Dolores County, Colorado",1736,913,823,1641,0,22,2,4,0,67,2,65,1617,119,0.4682,21543,21825,21128,30214,-666666666,,,,-666666666,18806,08,033
"Douglas County, Colorado",299794,148714,151080,272630,2985,779,11588,79,2892,8841,861,7980,275924,23870,0.3934,44105,45111,46618,25545,50431,31598,42520,23578,28699,19368,08,035
"Eagle County, Colorado",52233,28186,24047,46882,548,276,251,0,3361,915,177,738,36541,15692,0.4540,39355,41716,50011,16250,27220,27188,49736,-666666666,13484,21493,08,037
"Elbert County, Colorado",23545,11752,11793,22495,117,91,152,4,95,591,63,528,22155,1390,0.4055,36421,36769,37695,20753,68553,41871,35882,,18903,18477,08,039
"El Paso County, Colorado",645707,324108,321599,521280,38506,4119,17095,1928,26927,35852,4675,31177,544304,101403,0.4421,29314,31724,33521,17042,23084,19815,24307,22305,15734,15017,08,041
"Fremont County, Colorado",46879,27405,19474,40496,2788,766,563,61,1014,1191,310,881,40873,6006,0.4323,19161,20789,22614,7957,827,10905,7461,7925,25043,13155,08,043
"Garfield County, Colorado",56684,29065,27619,50191,499,447,392,0,3654,1501,316,1185,40720,15964,0.4089,27022,28436,32574,14441,7359,25528,17661,-666666666,10938,28312,08,045
"Gilpin County, Colorado",5557,2854,2703,5132,20,6,18,0,151,230,82,148,5110,447,0.4341,37375,37517,38315,17280,29160,,,-666666666,74930,7948,08,047
"Grand County, Colorado",14478,7822,6656,13269,91,25,210,42,743,98,22,76,13377,1101,0.4028,31713,33467,34015,11579,6046,29328,37191,11517,5878,11474,08,049
"Gunnison County, Colorado",15503,8401,7102,14852,77,92,144,0,37,301,4,297,14141,1362,0.4259,27070,27596,29155,10421,6171,40062,18352,-666666666,19546,7583,08,051
"Hinsdale County, Colorado",871,404,467,854,0,0,0,0,0,17,0,17,852,19,0.4382,36046,36434,37145,,-666666666,-666666666,-666666666,-666666666,-666666666,16565,08,053
"Huerfano County, Colorado",6550,3253,3297,5261,41,358,11,0,304,575,49,526,4258,2292,0.4970,23440,26722,30654,12251,24,10515,,-666666666,11163,10004,08,055
"Jackson County, Colorado",1389,750,639,1283,1,13,5,0,85,2,2,0,1132,257,0.3955,25818,27521,29692,9384,,7585,,-666666666,4424,,08,057
"Jefferson County, Colorado",546162,271437,274725,496471,5869,4884,13961,327,10115,14535,2164,12371,465014,81148,0.4305,36427,37580,40018,20916,27431,18654,32051,25750,23517,20070,08,059
"Kiowa County, Colorado",1407,658,749,1330,11,6,1,0,0,59,1,58,1322,85,0.4562,22173,22467,23531,6061,,,,-666666666,-666666666,17254,08,061
"Kit Carson County, Colorado",8122,4521,3601,7443,279,128,39,20,178,35,29,6,6574,1548,0.4219,21330,22634,24212,15294,38,5089,21664,19460,14756,,08,063
"Lake County, Colorado",7311,3953,3358,6476,38,17,80,7,567,126,1,125,5153,2158,0.3798,25998,26957,30632,15573,85432,,25948,5971,16335,6633,08,065
"La Plata County, Colorado",52547,26698,25849,46210,204,3032,361,71,1531,1138,216,922,46093,6454,0.4241,31016,32432,33536,21789,19728,19689,20429,61049,23576,17222,08,067
"Larimer County, Colorado",311435,154964,156471,282786,2948,1861,5810,372,8223,9435,1557,7878,277685,33750,0.4497,31082,32317,33487,17151,17123,22874,27447,17987,14977,16838,08,069
"Las Animas County, Colorado",14789,7596,7193,12504,192,304,89,27,992,681,280,401,8554,6235,0.4370,23365,24128,27802,17741,16529,20253,29052,39556,22201,12978,08,071
"Lincoln County, Colorado",5462,3261,2201,4594,665,104,4,0,20,75,0,75,4750,712,0.4701,17594,20628,23419,4084,348,1663,2325,-666666666,2780,11493,08,073
"Logan County, Colorado",22604,12369,10235,20866,287,194,350,9,267,631,477,154,19015,3589,0.4589,23533,24283,25807,15208,6315,15823,16144,,24181,12615,08,075
"Mesa County, Colorado",147509,73346,74163,135965,1060,1168,904,139,4280,3993,762,3231,127348,20161,0.4559,26518,27182,28456,16868,14875,22379,34245,9886,20471,13510,08,077
"Mineral County, Colorado",704,351,353,676,5,0,1,0,17,5,0,5,685,19,0.4092,34305,34575,34627,36311,,-666666666,,-666666666,,,08,079
"Moffat County, Colorado",13286,6965,6321,12331,25,305,115,118,257,135,68,67,11390,1896,0.4097,24623,25618,27400,10950,,9489,14416,15113,12332,11443,08,081
"Montezuma County, Colorado",25569,12628,12941,21246,75,3107,111,0,358,672,70,602,22549,3020,0.4273,23611,25453,26781,14533,813,13113,12516,-666666666,25251,17415,08,083
"Montrose County, Colorado",40885,20024,20861,37489,276,363,210,67,1492,988,203,785,32686,8199,0.4153,23408,24323,26626,12729,10712,13552,21599,21849,15243,8674,08,085
"Morgan County, Colorado",28342,14082,14260,25350,747,155,34,28,1198,830,287,543,18531,9811,0.4021,21297,22235,26156,14141,11922,13775,36744,,14681,11986,08,087
"Otero County, Colorado",18712,9261,9451,16999,86,344,178,144,691,270,50,220,11070,7642,0.4647,18868,19387,24159,11859,13799,13186,8967,,14224,6010,08,089
"Ouray County, Colorado",4532,2229,2303,4421,0,28,5,0,0,78,0,78,4262,270,0.4108,32562,32789,34003,11044,-666666666,,,-666666666,-666666666,25540,08,091
"Park County, Colorado",16174,8495,7679,15508,7,211,92,121,21,214,0,214,15305,869,0.3836,31838,31898,32363,22948,,35661,44418,,,14511,08,093
"Phillips County, Colorado",4385,2271,2114,4080,14,27,33,0,117,114,22,92,3288,1097,0.4606,22996,23662,27724,10682,,10344,11124,-666666666,16185,14006,08,095
"Pitkin County, Colorado",17303,9221,8082,16413,295,107,177,2,134,175,0,175,15648,1655,0.5384,54441,55499,59524,14229,35350,27074,46061,,35669,27585,08,097
"Prowers County, Colorado",12359,6186,6173,11667,51,133,61,0,258,189,40,149,7924,4435,0.4472,19039,19203,23245,12023,9461,18968,21533,-666666666,15326,15799,08,099
"Pueblo County, Colorado",160757,79168,81589,126386,3374,3950,1183,92,18743,7029,2698,4331,93234,67523,0.4437,22229,24158,27532,16017,13753,15011,25090,8696,15238,13991,08,101
"Rio Blanco County, Colorado",6739,3456,3283,6405,32,139,42,12,39,70,0,70,6033,706,0.4044,27776,27706,29252,15124,20422,31364,18829,,26336,20400,08,103
"Rio Grande County, Colorado",11840,5932,5908,9714,48,303,41,17,1416,301,75,226,6674,5166,0.4441,21104,22204,26367,14767,63879,15050,7332,18541,15090,15194,08,105
"Routt County, Colorado",23428,12314,11114,22103,119,97,291,0,508,310,89,221,21827,1601,0.4539,35019,36233,37236,11826,16223,19418,25245,-666666666,7252,15246,08,107
"Saguache County, Colorado",6211,3167,3044,5309,24,68,31,0,530,249,63,186,3775,2436,0.4858,20569,21838,26964,11590,15642,21541,4294,-666666666,11117,15867,08,109
"San Juan County, Colorado",653,370,283,608,0,6,10,0,26,3,0,3,511,142,0.3694,25926,25051,27135,20489,-666666666,,,-666666666,35965,,08,111
"San Miguel County, Colorado",7597,3999,3598,7334,17,22,91,0,39,94,7,87,6891,706,0.5133,40993,38581,40785,17097,9647,33009,273114,-666666666,9831,24924,08,113
"Sedgwick County, Colorado",2365,1131,1234,2159,10,11,24,0,54,107,10,97,1958,407,0.4201,22124,22745,24578,13605,23590,13745,36729,-666666666,18706,8753,08,115
"Summit County, Colorado",28482,15523,12959,25418,199,240,329,96,1775,425,238,187,24346,4136,0.4359,34842,37742,39394,15584,24538,14393,3587,8053,10909,7934,08,117
"Teller County, Colorado",23363,11818,11545,22000,211,109,233,0,321,489,27,462,21984,1379,0.4013,31732,31904,32854,14361,59325,27867,35365,-666666666,19011,19549,08,119
"Washington County, Colorado",4781,2498,2283,4607,49,13,6,0,41,65,19,46,4347,434,0.4338,24326,25071,26212,11102,943,8738,,-666666666,7339,2138,08,121
"Weld County, Colorado",265066,133051,132015,229905,2872,2390,3496,198,18943,7262,2108,5154,189408,75658,0.4225,25959,27285,30875,15247,15416,17566,26233,29651,15968,16759,08,123
"Yuma County, Colorado",10131,4892,5239,9093,104,9,14,0,591,320,82,238,7964,2167,0.4176,22902,23452,25643,13959,,5311,23764,-666666666,28860,3663,08,125
"Fairfield County, Connecticut",934215,454762,479453,694475,103232,1996,45560,241,66481,22230,6419,15811,767168,167047,0.5426,49688,57708,62163,22511,23966,22809,48716,44698,17253,20034,09,001
"Hartford County, Connecticut",897374,434604,462770,653648,119274,1900,41814,406,51865,28467,8057,20410,752104,145270,0.4725,35307,40275,43081,16397,21456,15894,36020,82885,15312,15265,09,003
"Litchfield County, Connecticut",187542,92200,95342,175327,2959,275,3343,0,2631,3007,420,2587,178245,9297,0.4391,37696,38715,39339,18761,22842,25401,30077,-666666666,16766,20839,09,005
"Middlesex County, Connecticut",165534,80927,84607,147394,8048,208,4527,44,1715,3598,366,3232,156808,8726,0.4333,40589,42243,42932,23829,27363,29834,33433,6939,22086,21261,09,007
"New Haven County, Connecticut",863148,416027,447121,649232,109755,1692,32080,214,48237,21938,5582,16356,725304,137844,0.4675,32794,36617,39204,16212,21366,33171,33604,21945,14335,16313,09,009
"New London County, Connecticut",274071,137029,137042,224950,15500,1546,11690,144,8074,12167,1801,10366,248687,25384,0.4297,34241,36928,37971,18135,22158,23958,29920,13657,17420,16824,09,011
"Tolland County, Connecticut",152251,76563,75688,136545,4511,70,5401,8,1696,4020,166,3854,145094,7157,0.4004,35022,36198,36707,19877,21282,14650,33026,,14962,21041,09,013
"Windham County, Connecticut",117918,58509,59409,107534,2592,349,1427,48,2598,3370,339,3031,105848,12070,0.4158,28044,29065,30193,13990,21821,15760,26075,,13529,13461,09,015
"Kent County, Delaware",167477,80690,86787,113563,40633,1056,3424,141,1968,6692,406,6286,156829,10648,0.4087,25259,27917,28519,15823,20890,15539,22584,22626,22212,10534,10,001
"New Castle County, Delaware",545846,264092,281754,360264,131536,1216,26119,318,13478,12915,1807,11108,496281,49565,0.4507,32616,37001,38729,17410,23204,20937,38285,19030,16685,12738,10,003
"Sussex County, Delaware",203737,99141,104596,165527,25859,862,2202,35,4923,4329,378,3951,185352,18385,0.4288,27748,30152,31374,14647,17519,21652,31614,20086,13373,12589,10,005
"District of Columbia, District of Columbia",633736,300030,333706,254955,314138,2072,22785,195,23999,15592,2015,13577,571099,62637,0.5295,46502,74468,78853,33231,25785,35316,52077,61480,22095,37345,11,001
"Alachua County, Florida",251759,121740,130019,175713,50882,717,13951,194,2511,7791,1445,6346,229688,22071,0.5168,25020,29170,30221,17658,13822,23471,24010,22064,11951,10797,12,001
"Baker County, Florida",27057,14116,12941,22713,3849,43,163,0,120,169,6,163,26459,598,0.4348,20346,22185,22392,9880,10968,13447,18931,-666666666,,3649,12,003
"Bay County, Florida",172988,85634,87354,142262,18052,1005,3482,123,918,7146,520,6626,163919,9069,0.4347,24937,26499,26660,20910,19721,16607,22602,16274,16536,10555,12,005
"Bradford County, Florida",27552,15369,12183,21368,5449,36,118,4,35,542,42,500,26523,1029,0.4533,18540,20596,21040,10318,11713,17022,15295,,3463,7988,12,007
"Brevard County, Florida",548891,268364,280527,456683,56026,1525,12200,494,7036,14927,1964,12963,500821,48070,0.4474,27360,29063,29836,19150,16623,25890,30226,66954,17391,16742,12,009
"Broward County, Florida",1815269,881064,934205,1146423,498880,4807,62158,982,53599,48420,11369,37051,1335189,480080,0.4782,28329,33700,38541,23511,17865,25231,28570,28192,19578,18659,12,011
"Calhoun County, Florida",14657,7990,6667,11947,1947,219,92,0,140,312,44,268,13848,809,0.4378,15463,17028,17560,5982,8687,15592,11797,-666666666,966,5339,12,013
"Charlotte County, Florida",163151,79302,83849,147782,9424,380,2031,5,885,2644,260,2384,152864,10287,0.4314,26374,27335,28171,14400,16550,15899,23290,,18210,14331,12,015
"Citrus County, Florida",139771,67497,72274,130161,4289,513,2206,0,821,1781,192,1589,132872,6899,0.4511,23495,23567,23956,16054,13952,28024,44760,-666666666,29772,10723,12,017
"Clay County, Florida",194868,95642,99226,160247,18671,599,6015,111,2280,6945,828,6117,178344,16524,0.4070,26489,27713,28169,21375,22893,20545,24275,23619,17880,13232,12,019
"Collier County, Florida",334474,164631,169843,291481,22566,822,4207,38,11122,4238,998,3240,246380,88094,0.5324,37236,40681,49706,14130,11974,19695,21475,,12280,19537,12,021
"Columbia County, Florida",67662,34883,32779,52253,12052,230,424,25,838,1840,138,1702,64139,3523,0.4467,19884,21971,22229,13625,12786,22859,34275,,7485,9330,12,023
"DeSoto County, Florida",34785,19627,15158,28654,4528,95,196,0,918,394,132,262,24260,10525,0.4222,15596,16842,20127,10351,8582,9494,24014,-666666666,13846,6941,12,027
"Dixie County, Florida",16137,8760,7377,14081,1627,40,53,0,10,326,46,280,15760,377,0.4071,16954,18193,18466,3471,8476,2928,9879,-666666666,,8493,12,029
"Duval County, Florida",880750,426934,453816,543264,259375,2408,37316,871,10115,27401,3343,24058,809210,71540,0.4730,26267,31181,32385,18926,17093,24260,31345,18882,18073,12181,12,031
"Escambia County, Florida",304099,151056,153043,210631,66834,1506,8795,541,2675,13117,1178,11939,288518,15581,0.4504,24014,27806,28324,18323,14978,24302,20599,15792,16138,13347,12,033
"Flagler County, Florida",98843,47366,51477,80341,11020,104,2339,76,2671,2292,567,1725,89671,9172,0.4363,24393,26470,26967,17455,16547,16716,19705,5593,12139,9368,12,035
"Franklin County, Florida",11636,6779,4857,9472,1797,50,73,10,119,115,6,109,11072,564,0.4904,20287,23137,23295,11842,7415,16870,13044,,2322,10132,12,037
"Gadsden County, Florida",46865,23449,23416,18531,25854,60,255,11,1564,590,59,531,42113,4752,0.4535,18101,23874,25987,10748,14550,7258,47529,,7591,8988,12,039
"Gilchrist County, Florida",16948,8882,8066,15576,1043,38,39,0,48,204,18,186,16093,855,0.4572,20536,21497,22188,9520,6207,6674,30492,-666666666,13685,22768,12,041
"Glades County, Florida",13190,7373,5817,10324,1732,568,65,0,419,82,14,68,10373,2817,0.4439,16799,17304,19072,9960,8929,40335,10432,-666666666,5563,18861,12,043
"Gulf County, Florida",15781,9244,6537,12215,2899,135,176,22,187,147,18,129,15052,729,0.4413,19411,21201,21872,5193,15015,6736,273,,10664,2500,12,045
"Hamilton County, Florida",14466,8698,5768,8790,4858,87,42,0,323,366,96,270,13148,1318,0.4664,15012,18954,19820,7672,8936,37433,9914,-666666666,4542,5493,12,047
"Hardee County, Florida",27549,15103,12446,22983,2019,100,274,1,1742,430,153,277,15714,11835,0.4835,15783,17546,23424,9763,3968,7288,6313,,10305,7274,12,049
"Hendry County, Florida",38360,20653,17707,27230,4713,711,323,39,4514,830,358,472,19193,19167,0.4594,16381,18651,25898,11534,9740,22097,12443,,11020,6152,12,051
"Hernando County, Florida",173792,83239,90553,156206,9211,548,1792,83,2686,3266,357,2909,154781,19011,0.4201,21245,22191,22751,15843,12877,15814,18465,17755,11817,9911,12,053
"Highlands County, Florida",98261,47726,50535,82654,9243,621,1438,91,2545,1669,276,1393,80583,17678,0.4375,20455,21740,23692,11955,13674,11568,23164,19574,8924,12972,12,055
"Hillsborough County, Florida",1279668,624290,655378,918084,213555,6635,45878,1023,55568,38925,8283,30642,950848,328820,0.4792,27532,30898,35450,17408,18017,15903,32870,15879,14068,15559,12,057
"Holmes County, Florida",19741,10555,9186,17654,1366,54,40,22,154,451,26,425,19228,513,0.4458,16946,17574,17838,3035,7674,9852,20733,6195,1001,26943,12,059
"Indian River County, Florida",140918,67809,73109,121670,12735,280,1655,10,2108,2460,285,2175,124580,16338,0.5251,31089,33776,35751,16745,12451,9255,30635,,10144,15447,12,061
"Jackson County, Florida",49105,27263,21842,33718,12924,166,316,0,692,1289,210,1079,46860,2245,0.4511,17611,20115,20598,7694,13130,13249,18623,-666666666,2346,5558,12,063
"Jefferson County, Florida",14335,7645,6690,8615,5242,31,0,0,316,131,24,107,13768,567,0.4480,20972,26308,27306,7856,13042,3110,-666666666,-666666666,3944,32679,12,065
"Lafayette County, Florida",8821,5248,3573,6888,1539,0,5,0,265,124,79,45,7677,1144,0.4979,18125,20928,22654,10293,5409,-666666666,,-666666666,9592,38799,12,067
"Lake County, Florida",305010,147503,157507,254313,29607,1132,5685,256,7170,6847,1362,5485,265246,39764,0.4326,24103,25508,26863,15976,16567,27787,26807,10296,14619,12096,12,069
"Lee County, Florida",647554,317586,329968,545605,55693,2084,10098,102,23688,10284,2377,7907,524742,122812,0.4727,27578,29956,33229,13433,14051,18304,26489,33858,12007,13435,12,071
"Leon County, Florida",280882,133487,147395,175713,87092,1000,8838,38,2354,5847,829,5018,264129,16753,0.4939,26486,31795,32839,17442,16489,19327,28413,,13924,19282,12,073
"Levy County, Florida",40057,19818,20239,35022,3685,169,157,1,157,866,97,769,36935,3122,0.4556,19655,20381,21033,13016,15550,24888,4192,,20527,9423,12,075
"Liberty County, Florida",8302,5153,3149,6415,1420,85,44,0,186,152,0,152,7811,491,0.4579,16928,19822,20537,5983,6559,6996,21627,-666666666,8754,5846,12,077
"Madison County, Florida",18901,9894,9007,10771,7330,9,26,72,329,364,3,361,17983,918,0.4520,15664,19291,19784,7098,11130,,12808,,6933,7492,12,079
