NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_002E,B03003_003E,B19083_001E,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Carroll County, Arkansas",27690,13639,14051,25856,318,172,245,143,301,655,43,612,23669,4021,0.4365,20888,21449,23195,10334,4871,22373,8367,4324,11001,18969,05,015
"Chicot County, Arkansas",11189,5452,5737,4778,6070,47,46,0,176,72,21,51,10611,578,0.5425,18853,25733,27149,8332,13764,9226,35646,-666666666,4077,23056,05,017
"Clark County, Arkansas",22684,10769,11915,16387,5348,39,174,0,336,400,15,385,21671,1013,0.4654,19500,21694,22255,6782,15279,11187,5691,-666666666,4589,5422,05,019
"Clay County, Arkansas",15202,7490,7712,14632,76,62,26,0,242,164,5,159,14927,275,0.4528,19192,19537,19543,13036,3829,14435,,-666666666,13783,5916,05,021
"Cleburne County, Arkansas",25587,12731,12856,24850,143,103,147,0,65,279,3,276,24972,615,0.4727,25078,25414,25753,11874,4738,19295,16470,-666666666,19668,13503,05,023
"Cleveland County, Arkansas",8421,4216,4205,7299,885,19,9,0,15,194,6,188,8232,189,0.4317,21485,22842,23203,6565,13801,53411,,-666666666,,5013,05,025
"Columbia County, Arkansas",24168,11514,12654,14506,8420,76,256,0,665,245,67,178,23549,619,0.4630,19922,24479,24675,12930,12636,24271,28863,-666666666,12157,10891,05,027
"Conway County, Arkansas",21060,10306,10754,17959,2490,112,16,0,47,436,0,436,20270,790,0.4702,21896,22556,23150,9973,17818,14879,,-666666666,33838,18827,05,029
"Craighead County, Arkansas",102884,50128,52756,83094,14233,657,1222,80,1614,1984,139,1845,98028,4856,0.4762,24226,26491,26955,11569,15106,14906,26515,,9249,9212,05,031
"Crawford County, Arkansas",61927,30446,31481,55876,825,1248,1086,0,948,1944,32,1912,57599,4328,0.4387,20889,21551,22042,11559,16043,20061,16280,-666666666,9383,12637,05,033
"Crittenden County, Arkansas",49511,23382,26129,22338,25110,87,324,75,230,1347,102,1245,48360,1151,0.4512,20133,27887,28249,15998,13577,20255,29363,12792,25560,11010,05,035
"Cross County, Arkansas",17329,8379,8950,12940,4033,27,52,0,63,214,0,214,17007,322,0.4626,20692,23485,23505,20415,12475,5219,8429,-666666666,,13690,05,037
"Dallas County, Arkansas",7738,3748,3990,4256,3179,4,138,0,67,94,0,94,7509,229,0.3892,17803,19473,19791,5646,16660,,11645,-666666666,,,05,039
"Desha County, Arkansas",12234,5608,6626,5993,5837,24,14,0,238,128,0,128,11592,642,0.4747,17324,22932,24134,6598,11966,24042,,-666666666,9363,14223,05,041
"Drew County, Arkansas",18688,9034,9654,12728,5369,16,23,0,363,189,0,189,18137,551,0.4903,18373,21273,21539,7346,12559,,,-666666666,9330,3544,05,043
"Faulkner County, Arkansas",120417,59053,61364,100659,13464,483,1498,170,1644,2499,149,2350,115663,4754,0.4488,24809,26448,26718,16219,15986,49007,15601,,18478,12661,05,045
"Franklin County, Arkansas",17799,8795,9004,16789,164,423,64,26,16,317,8,309,17298,501,0.4239,19811,20284,20472,6409,14327,8633,7920,5096,,16619,05,047
"Fulton County, Arkansas",12186,6031,6155,11760,9,91,18,0,40,268,0,268,12028,158,0.4171,19082,19430,19491,10799,,7220,,-666666666,,10890,05,049
"Garland County, Arkansas",97119,46875,50244,83060,7959,708,691,9,2692,2000,59,1941,92055,5064,0.4851,24602,26063,26579,10526,15607,14695,27993,,15507,14421,05,051
"Grant County, Arkansas",18046,8867,9179,16935,788,56,33,2,25,207,13,194,17878,168,0.4477,24696,25036,25153,9076,22984,6696,,,13420,10307,05,053
"Greene County, Arkansas",43745,21558,22187,41969,411,161,59,20,408,717,32,685,42601,1144,0.4325,21643,21996,22196,10311,12755,17155,,,8601,16373,05,055
"Hempstead County, Arkansas",22208,10653,11555,13986,6737,39,1,0,909,536,141,395,19426,2782,0.4469,17813,20496,22404,7176,14325,32995,,-666666666,9667,4399,05,057
"Hot Spring County, Arkansas",33440,17232,16208,28677,3770,118,85,0,138,652,36,616,32347,1093,0.4431,20522,21692,22052,12907,13253,16005,,-666666666,12099,15008,05,059
"Howard County, Arkansas",13487,6493,6994,9094,2839,68,21,0,1264,201,0,201,11949,1538,0.5215,22587,26121,26450,11341,17477,18101,,-666666666,10474,14068,05,061
"Independence County, Arkansas",37030,17995,19035,34268,722,143,318,5,851,723,123,600,34809,2221,0.4670,22035,22624,23118,11030,22482,1248,15562,,14377,9681,05,063
"Izard County, Arkansas",13461,6980,6481,13044,166,32,21,0,55,143,10,133,13207,254,0.4192,18964,19265,19421,6147,10700,,,-666666666,,14061,05,065
"Jackson County, Arkansas",17495,8579,8916,13874,2997,62,25,0,137,400,0,400,17026,469,0.5096,18316,20366,20666,7369,11306,,,-666666666,5207,5060,05,067
"Jefferson County, Arkansas",72385,35626,36759,29613,40617,105,579,0,605,866,35,831,71016,1369,0.4710,19691,25785,26174,10961,15186,10497,36560,-666666666,11431,18251,05,069
"Johnson County, Arkansas",26025,12928,13097,24004,460,90,363,13,475,620,37,583,22551,3474,0.4630,18871,19538,19869,16078,11430,3093,11114,,12494,10689,05,071
"Lafayette County, Arkansas",7127,3498,3629,4291,2763,0,31,0,3,39,0,39,7056,71,0.5885,24171,31556,31577,27427,12782,-666666666,32548,-666666666,,13567,05,073
"Lawrence County, Arkansas",16915,8310,8605,16436,122,119,14,0,12,212,0,212,16706,209,0.4380,18010,17976,18100,7970,4261,28387,17571,-666666666,,23273,05,075
"Lee County, Arkansas",9781,5575,4206,4090,5615,21,6,0,0,49,0,49,9637,144,0.5081,14292,19401,19604,10857,10671,10910,,-666666666,-666666666,4363,05,077
"Lincoln County, Arkansas",13935,8622,5313,9275,4337,66,0,0,183,74,2,72,13434,501,0.4611,12610,16030,16272,7332,5631,12203,-666666666,-666666666,6319,8814,05,079
"Little River County, Arkansas",12616,6266,6350,9285,2644,150,0,0,347,190,0,190,12212,404,0.4288,20237,21929,21981,7904,16242,30257,-666666666,-666666666,6902,9589,05,081
"Logan County, Arkansas",21935,10961,10974,20421,381,183,479,0,136,335,35,300,21342,593,0.4578,20340,20141,20166,13484,6582,63387,28475,-666666666,,21178,05,083
"Lonoke County, Arkansas",71279,35076,36203,63610,4201,331,537,84,1015,1501,222,1279,68384,2895,0.3870,24501,25422,25607,21159,14620,18104,27801,,26060,12980,05,085
"Madison County, Arkansas",15761,7918,7843,14951,110,129,66,0,36,469,11,458,14934,827,0.4712,22637,23097,23857,8455,13627,13126,,-666666666,16722,15489,05,087
"Marion County, Arkansas",16404,8105,8299,15848,59,127,54,0,36,280,17,263,16060,344,0.4266,18706,18926,19082,9519,8258,27670,,-666666666,,8460,05,089
"Miller County, Arkansas",43666,21577,22089,31082,10991,283,57,31,358,864,113,751,42400,1266,0.4429,21217,23587,23817,12880,15463,19870,25295,,16586,11182,05,091
"Mississippi County, Arkansas",44199,21480,22719,27013,15404,33,91,33,788,837,23,814,42474,1725,0.4665,19159,22547,22942,10223,14236,19964,18370,,11091,8509,05,093
"Monroe County, Arkansas",7542,3509,4033,4226,3081,7,31,0,33,164,31,133,7361,181,0.4698,19849,24257,24081,23031,14667,,,-666666666,,8013,05,095
"Montgomery County, Arkansas",9100,4529,4571,8434,53,205,82,0,174,152,3,149,8745,355,0.4177,20375,21014,21100,8669,6143,25748,8907,-666666666,,6043,05,097
"Nevada County, Arkansas",8668,4489,4179,5547,2945,19,114,0,0,43,0,43,8642,26,0.4539,17595,20435,20476,11750,12789,25621,7540,-666666666,-666666666,3523,05,099
"Newton County, Arkansas",7988,4013,3975,7631,0,90,39,0,0,228,6,222,7902,86,0.4366,17790,17681,17808,6980,-666666666,27134,,-666666666,-666666666,20370,05,101
"Ouachita County, Arkansas",24728,11647,13081,14168,10072,47,16,0,26,399,0,399,24234,494,0.4813,20033,25293,25697,12482,13017,17945,55894,-666666666,,9989,05,103
"Perry County, Arkansas",10246,5104,5142,9547,275,30,11,0,139,244,17,227,10003,243,0.4374,22474,23085,22985,22966,10355,,,-666666666,15829,16632,05,105
"Phillips County, Arkansas",19929,9353,10576,7245,12410,2,23,0,15,234,16,218,19597,332,0.4994,16684,24234,24739,12962,12511,,42252,-666666666,,2821,05,107
"Pike County, Arkansas",11017,5412,5605,9816,334,34,77,0,561,195,0,195,10290,727,0.4432,19686,20847,20994,9769,15320,12000,3778,-666666666,8713,7879,05,109
"Poinsett County, Arkansas",24131,11833,12298,21558,1448,85,28,0,165,847,6,841,23466,665,0.4138,17710,18466,18592,10241,11684,17622,,-666666666,9558,10604,05,111
"Polk County, Arkansas",20290,9887,10403,18788,77,241,78,0,453,653,17,636,19012,1278,0.4247,18097,18609,18933,11306,11738,9750,32487,-666666666,10669,10639,05,113
"Pope County, Arkansas",63107,31051,32056,57527,1888,279,638,0,901,1874,68,1806,57932,5175,0.4534,20912,21328,21996,11174,14345,18268,22122,-666666666,11739,19170,05,115
"Prairie County, Arkansas",8334,4093,4241,7103,1114,30,2,0,28,57,1,56,8300,34,0.4267,21035,22586,22593,7524,12182,,,-666666666,,9402,05,117
"Pulaski County, Arkansas",391806,187819,203987,226711,140671,1049,8419,99,4889,9968,1635,8333,368512,23294,0.4920,28421,35845,37491,13842,17652,18248,34042,40991,13669,14974,05,119
"Randolph County, Arkansas",17584,8679,8905,16981,184,126,8,0,50,235,3,232,17272,312,0.4498,20059,20107,20233,9604,26433,11360,,-666666666,7820,18634,05,121
"St. Francis County, Arkansas",27023,14625,12398,11497,14335,92,84,14,629,372,87,285,25763,1260,0.4488,16540,21673,21884,13141,12966,,17414,,11397,7134,05,123
"Saline County, Arkansas",115577,56728,58849,104154,6989,388,1184,62,609,2191,148,2043,110682,4895,0.3869,26963,27618,28112,15478,23303,29573,19504,52534,12759,14304,05,125
"Scott County, Arkansas",10661,5397,5264,9590,14,165,328,0,220,344,0,344,9875,786,0.4305,17934,18170,18647,9581,,13885,21311,-666666666,8524,16312,05,127
"Searcy County, Arkansas",7938,3974,3964,7489,34,98,94,0,30,193,19,174,7831,107,0.4625,20618,20952,20438,51005,7056,15399,,-666666666,18300,10134,05,129
"Sebastian County, Arkansas",127351,62214,65137,101395,8397,1788,5556,75,5125,5015,597,4418,110310,17041,0.4911,23383,25344,27350,9893,13840,19780,23014,14104,10755,14443,05,131
"Sevier County, Arkansas",17193,8586,8607,11237,858,364,82,4,4318,330,64,266,11633,5560,0.4066,17458,20289,21445,11435,12113,16624,11096,,11869,10789,05,133
"Sharp County, Arkansas",17027,8345,8682,16294,55,95,97,0,23,463,82,381,16672,355,0.4777,19404,19717,19879,12687,5011,13616,22265,-666666666,8817,11237,05,135
"Stone County, Arkansas",12503,6341,6162,12080,10,44,26,0,29,314,0,314,12290,213,0.4860,19616,19957,20069,12433,,14495,,-666666666,,8296,05,137
"Autauga County, Alabama",55049,26877,28172,42311,10196,226,444,31,764,1077,70,1007,53633,1416,0.4295,26168,28781,28754,22887,17711,16415,25327,28784,14651,14045,01,001
"Baldwin County, Alabama",199510,97371,102139,172441,18594,1355,1338,0,1766,4016,908,3108,190798,8712,0.4608,28069,30185,30762,14947,13363,24142,22467,-666666666,13504,14857,01,003
"Barbour County, Alabama",26614,14239,12375,12430,12756,46,129,0,1099,154,6,148,25467,1147,0.4620,17249,23139,23329,11645,11822,85357,18159,-666666666,11357,12241,01,005
"Bibb County, Alabama",22572,12084,10488,17370,4788,81,14,0,8,311,0,311,22070,502,0.4494,18988,21341,21381,19676,11066,7247,,-666666666,,13933,01,007
"Blount County, Alabama",57704,28572,29132,55073,905,201,92,0,501,932,28,904,52668,5036,0.4165,21033,21313,22500,8634,14358,25934,15968,-666666666,15903,13195,01,009
"Bullock County, Alabama",10552,5719,4833,2301,7967,84,84,0,1,115,0,115,10539,13,0.4701,17909,32020,32179,3977,13445,,,-666666666,,,01,011
"Butler County, Alabama",20280,9522,10758,10876,8875,15,203,0,44,267,0,267,20027,253,0.4588,19011,23375,23527,15528,13301,4927,38263,-666666666,,17845,01,013
"Calhoun County, Alabama",115883,55742,60141,86777,23791,382,1079,6,1221,2627,133,2494,111901,3982,0.4543,22231,24445,24746,12046,15897,14285,28928,,10837,10232,01,015
"Chambers County, Alabama",34018,16299,17719,19417,13779,78,312,0,42,390,18,372,33870,148,0.4734,21532,25329,25402,10716,15453,205987,25185,-666666666,,9894,01,017
"Cherokee County, Alabama",25897,12883,13014,24156,1209,152,109,0,2,269,6,263,25492,405,0.4464,22544,23143,23336,9911,13211,39825,4599,-666666666,,8181,01,019
"Chilton County, Alabama",43817,21559,22258,36740,4418,134,191,0,1882,452,20,432,40476,3341,0.4575,22045,23715,24201,11849,14259,20663,,-666666666,11886,9315,01,021
"Choctaw County, Alabama",13287,6349,6938,7495,5658,2,6,0,2,124,0,124,13213,74,0.4799,20773,25173,25255,4186,15062,,,-666666666,,14624,01,023
"Clarke County, Alabama",24847,11738,13109,13253,11304,8,114,33,0,135,3,132,24804,43,0.5259,20543,25642,25715,,13843,,,,-666666666,10779,01,025
"Clay County, Alabama",13483,6532,6951,11177,1993,124,0,0,68,121,11,110,13064,419,0.4497,21115,22836,23356,7429,14084,4096,-666666666,-666666666,,5635,01,027
"Cleburne County, Alabama",14991,7423,7568,14176,354,21,86,0,58,296,26,270,14642,349,0.4441,19791,20117,20364,7543,16897,,30040,-666666666,10993,6365,01,029
"Coffee County, Alabama",50991,25210,25781,38945,8766,421,623,0,528,1708,14,1694,47647,3344,0.4485,25325,27920,28322,19922,17727,15781,13765,-666666666,12127,15816,01,031
"Colbert County, Alabama",54377,26271,28106,43379,8532,328,255,31,605,1247,168,1079,53071,1306,0.4396,23318,24415,24556,15040,19186,51969,33670,26258,18418,6079,01,033
"Conecuh County, Alabama",12697,6028,6669,6593,5880,19,14,0,1,190,0,190,12473,224,0.4791,16004,20049,20199,9383,11684,3137,,-666666666,,3673,01,035
"Coosa County, Alabama",10864,5355,5509,7204,3516,8,0,0,0,136,0,136,10724,140,0.4263,18080,20369,20586,9415,14041,,-666666666,-666666666,-666666666,,01,037
"Covington County, Alabama",37729,18219,19510,31881,4945,130,176,23,144,430,9,421,37151,578,0.4555,21738,23493,23542,16130,11528,27924,15550,,12226,13786,01,039
"Crenshaw County, Alabama",13896,6863,7033,9935,3312,123,232,0,180,114,0,114,13662,234,0.4680,20455,22852,22894,16058,14328,11772,25609,-666666666,9616,5621,01,041
"Cullman County, Alabama",81316,40200,41116,77946,899,425,497,19,634,896,41,855,77890,3426,0.4529,21041,21401,21869,8568,13131,15589,16224,,8971,11697,01,043
"Dale County, Alabama",49607,24443,25164,36921,9756,295,508,11,611,1505,71,1434,46686,2921,0.4576,22834,25424,25788,16241,14180,21240,28472,,9579,19364,01,045
"Dallas County, Alabama",41426,19128,22298,11884,28798,91,163,37,92,361,36,325,41029,397,0.5170,17611,29305,29585,14983,12794,20647,31064,32857,12274,9850,01,047
"DeKalb County, Alabama",70937,35134,35803,61858,1082,979,214,497,4713,1594,266,1328,60995,9942,0.4438,18685,19757,20582,8051,13782,15842,38946,4578,7446,17046,01,049
"Elmore County, Alabama",80957,39347,41610,61018,17296,210,457,0,634,1342,73,1269,78689,2268,0.4270,24771,27618,27803,20720,15635,11059,28260,-666666666,25081,13922,01,051
"Escambia County, Alabama",37875,19390,18485,23453,12267,1317,40,67,224,507,58,449,37095,780,0.4891,17420,20956,21025,16315,10538,20520,4710,,13220,14078,01,053
"Etowah County, Alabama",103363,50007,53356,84024,15931,475,699,67,584,1583,59,1524,99611,3752,0.4391,21287,22407,22827,11954,15504,11000,55156,,18478,9144,01,055
"Fayette County, Alabama",16783,8311,8472,14371,2104,0,45,0,0,263,0,263,16639,144,0.4579,20201,21546,21647,4251,12832,-666666666,1882,-666666666,-666666666,8777,01,057
"Franklin County, Alabama",31573,15553,16020,28133,1427,313,102,18,1244,336,133,203,26516,5057,0.4415,18193,18737,19688,12356,16783,8767,3014,,14466,5679,01,059
"Geneva County, Alabama",26765,13072,13693,23235,2570,126,103,0,178,553,3,550,25773,992,0.4508,20189,21237,21607,9454,13015,20329,17421,-666666666,5833,14607,01,061
"Greene County, Alabama",8587,4092,4495,1472,6977,35,14,0,0,89,54,35,8534,53,0.5086,13679,26548,26548,,11118,,,-666666666,-666666666,,01,063
"Hale County, Alabama",15159,7121,8038,6062,8843,49,16,9,147,33,33,0,14976,183,0.4906,19296,27607,27621,16049,13719,,,,19042,,01,065
"Henry County, Alabama",17187,8301,8886,12113,4793,0,0,0,88,193,18,175,16752,435,0.4590,22825,25464,25572,19191,16554,-666666666,-666666666,-666666666,14211,16878,01,067
"Houston County, Alabama",103891,49782,54109,72332,27680,427,866,27,648,1911,119,1792,100580,3311,0.4809,24086,28019,28446,14102,14517,20575,37316,,15123,11967,01,069
"Jackson County, Alabama",52608,25763,26845,47949,1733,448,196,28,591,1663,32,1631,51173,1435,0.4543,20487,20800,20885,12539,16751,25280,5900,49954,7537,19875,01,071
"Jefferson County, Alabama",659096,311971,347125,345499,280248,1467,9932,198,12185,9567,641,8926,634780,24316,0.4995,28162,36970,37612,14377,18471,24913,28624,26292,10666,16284,01,073
"Lamar County, Alabama",14066,6813,7253,12315,1584,42,0,0,81,44,0,44,13865,201,0.4710,20206,21119,21254,13030,14062,,-666666666,-666666666,,,01,075
"Lauderdale County, Alabama",92641,44261,48380,80627,9126,371,629,15,218,1655,148,1507,90424,2217,0.4640,24893,25794,26030,20414,17814,37308,31948,,40953,12548,01,077
"Lawrence County, Alabama",33433,16272,17161,26108,3800,1653,31,0,0,1841,126,1715,32742,691,0.4330,21911,21860,22004,10023,16819,27312,37577,-666666666,-666666666,28034,01,079
"Lee County, Alabama",153947,76027,77920,107682,35770,203,5576,27,2423,2266,110,2156,148266,5681,0.5003,24951,27667,27999,17186,17522,17712,28728,9252,18030,12080,01,081
"Limestone County, Alabama",90257,45146,45111,73517,11502,581,1125,30,1271,2231,103,2128,85122,5135,0.4595,26086,27714,28475,13061,19945,30695,25880,,15623,9147,01,083
"Lowndes County, Alabama",10565,5045,5520,2612,7886,8,0,0,0,59,0,59,10515,50,0.5244,18434,35600,35743,16838,12789,,-666666666,-666666666,-666666666,,01,085
"Macon County, Alabama",19684,9072,10612,3106,16162,65,44,0,175,132,12,120,19360,324,0.4753,18385,23776,22590,23177,17421,15160,23355,-666666666,14825,14230,01,087
"Madison County, Alabama",349973,171085,178888,240861,84657,2094,8574,396,3355,10036,550,9486,333611,16362,0.4664,33264,37954,38748,19975,22334,26504,37110,20095,13103,18299,01,089
"Marengo County, Alabama",20066,9433,10633,9167,10587,50,43,0,150,69,0,69,19876,190,0.5190,20359,28174,28056,15843,13886,,10200,-666666666,10937,10665,01,091
"Marion County, Alabama",30239,14958,15281,28242,1012,115,98,0,174,598,26,572,29513,726,0.4750,20998,21403,21388,16414,18183,21703,24871,-666666666,9490,9229,01,093
"Marshall County, Alabama",94534,46597,47937,87423,1981,567,556,20,2324,1663,237,1426,82324,12210,0.4730,21767,22336,24099,8138,12816,17128,35673,,8493,16317,01,095
"Mobile County, Alabama",414291,198297,215994,246794,146306,2568,8140,49,3207,7227,458,6769,403334,10957,0.4703,23318,28016,28235,18525,16058,22154,24029,35610,14519,13258,01,097
"Monroe County, Alabama",21975,10522,11453,12065,9405,251,50,0,0,204,0,204,21839,136,0.5370,16556,21128,21213,1905,10538,21209,16688,-666666666,-666666666,17845,01,099
"Montgomery County, Alabama",227392,107740,119652,85928,129205,388,5109,44,2830,3888,671,3217,219862,7530,0.4858,26255,37818,38817,20816,18683,29145,31180,31241,25930,15734,01,101
"Morgan County, Alabama",119555,58849,60706,97880,14557,849,802,5,2582,2880,121,2759,110216,9339,0.4531,24415,26198,27275,10997,17154,35831,20740,,9694,11412,01,103
"Perry County, Alabama",9856,4671,5185,2962,6760,4,18,0,47,65,0,65,9762,94,0.4983,14033,20374,20596,7060,11435,,,-666666666,11389,131,01,105
"Pickens County, Alabama",20042,9877,10165,11254,8387,24,12,9,184,172,37,135,19556,486,0.4958,19188,24385,24804,7601,12652,,,,10157,8892,01,107
"Pike County, Alabama",33277,15865,17412,19408,12514,215,704,2,19,415,56,359,32547,730,0.5205,20180,24395,24605,17119,14485,12807,10591,,,14670,01,109
"Randolph County, Alabama",22615,11025,11590,17452,4429,74,51,44,165,400,6,394,21954,661,0.4446,19584,21329,21590,7586,14896,16546,,,2106,4648,01,111
"Russell County, Alabama",58636,28519,30117,30392,24789,216,435,128,603,2073,457,1616,55662,2974,0.4554,20760,23189,23317,18544,19268,18157,15725,10526,13534,7052,01,113
"St. Clair County, Alabama",86576,43498,43078,75738,8156,265,741,0,715,961,99,862,84615,1961,0.4144,24474,25268,25391,14516,18970,20949,27129,-666666666,11647,17000,01,115
"Shelby County, Alabama",205951,100098,105853,167257,23898,446,4088,67,6873,3322,335,2987,194090,11861,0.4296,34117,36272,36671,16081,27246,26082,34560,47545,12159,20701,01,117
"Sumter County, Alabama",13285,6135,7150,3280,9523,41,375,0,18,48,6,42,13246,39,0.5215,13929,22802,22898,7172,11362,,4652,-666666666,,6592,01,119
"Talladega County, Alabama",81057,39342,41715,52390,25996,253,442,29,643,1304,100,1204,79305,1752,0.4567,20430,23018,23217,10688,15324,13032,65822,,12542,8161,01,121
"Tallapoosa County, Alabama",40958,19395,21563,28778,11248,144,208,0,292,288,25,263,39970,988,0.4548,21410,25045,25317,15451,13060,18589,12465,-666666666,3754,10054,01,123
"Tuscaloosa County, Alabama",202471,97672,104799,132344,62793,287,3044,29,1870,2104,62,2042,195805,6666,0.4686,23896,27667,28131,14213,16885,21032,21987,5469,12100,9776,01,125
"Walker County, Alabama",65593,31944,33649,59932,3791,36,302,0,109,1423,15,1408,64110,1483,0.4599,20410,21048,21279,10249,15079,37369,14211,-666666666,20903,8577,01,127
"Washington County, Alabama",16909,8389,8520,11082,4189,1341,110,0,79,108,37,71,16690,219,0.4354,19598,21779,21765,12462,15495,17015,1917,-666666666,,14769,01,129
"Wilcox County, Alabama",11119,5362,5757,3050,8000,7,0,0,62,0,0,0,11057,62,0.5301,14800,25277,25277,,10922,,-666666666,-666666666,,-666666666,01,131
"Winston County, Alabama",24013,11814,12199,23191,98,166,84,12,33,429,23,406,23313,700,0.4415,19299,19672,19858,11281,6003,9898,11527,,25039,7251,01,133
"Aleutians East Borough, Alaska",3299,2145,1154,630,231,1119,974,36,134,175,20,155,2968,331,0.3868,31025,44439,47587,27679,23526,26736,30125,31622,29149,26378,02,013
"Aleutians West Census Area, Alaska",5714,3578,2136,1763,315,745,2086,143,346,316,74,242,4924,790,0.3659,35083,49589,53866,30813,36914,28902,27623,30057,41029,11903,02,016
"Anchorage Municipality, Alaska",299321,152681,146640,192329,16938,20963,26756,6797,6187,29351,1760,27591,273230,26091,0.4201,37864,46142,47543,25226,28118,23418,22945,18581,23107,20744,02,020
"Bethel Census Area, Alaska",17885,9358,8527,1976,135,14651,161,67,75,820,11,809,17526,359,0.4289,18231,53551,55798,14806,32060,12819,36500,8558,17092,24840,02,050
"Bristol Bay Borough, Alaska",942,536,406,525,3,302,11,2,13,86,0,86,896,46,0.3808,41420,51738,53477,13189,,30187,,,11908,24837,02,060
"Denali Borough, Alaska",2125,1142,983,1817,21,66,72,0,4,145,0,145,2108,17,0.3762,38337,40000,39993,,39790,22362,11921,-666666666,,37062,02,068
"Dillingham Census Area, Alaska",4980,2564,2416,893,12,3596,108,1,27,343,0,343,4833,147,0.4268,23520,49258,51767,24797,18808,16761,28775,,96852,20141,02,070
"Fairbanks North Star Borough, Alaska",100150,53774,46376,76617,4183,6547,3037,594,925,8247,93,8154,92664,7486,0.4029,34182,37821,38948,20016,25000,20862,31454,18011,19770,19394,02,090
"Haines Borough, Alaska",2528,1429,1099,1970,1,123,85,5,12,332,0,332,2487,41,0.4263,32673,34069,34368,13768,,32175,60614,,,17997,02,100
"Hoonah-Angoon Census Area, Alaska",2107,1084,1023,1070,77,678,48,1,24,209,0,209,2002,105,0.3908,31451,39269,39862,24344,37900,19038,64904,,43508,20230,02,105
"Juneau City and Borough, Alaska",32524,16648,15876,22575,381,4009,2332,324,251,2652,162,2490,30476,2048,0.3790,40592,45877,46693,27740,150161,25593,25651,18755,34181,18956,02,110
"Kenai Peninsula Borough, Alaska",57637,30103,27534,48208,345,4338,761,190,399,3396,134,3262,55423,2214,0.4179,32556,34941,35371,19619,20024,17488,34675,6969,33527,20060,02,122
"Ketchikan Gateway Borough, Alaska",13715,7038,6677,9264,68,1834,1037,10,125,1377,15,1362,13081,634,0.4158,32694,39338,39868,25569,26796,19441,20339,,18047,16264,02,130
"Kodiak Island Borough, Alaska",13918,7338,6580,7516,20,1908,3048,159,261,1006,307,699,12707,1211,0.3845,32066,41720,42983,21096,22360,20549,22806,11324,24595,15244,02,150
"Kusilvak Census Area, Alaska",7993,4259,3734,312,46,7128,31,0,3,473,0,473,7886,107,0.4156,11701,43538,44499,14044,20709,9926,26777,-666666666,,15660,02,158
"Lake and Peninsula Borough, Alaska",1411,720,691,300,11,976,40,1,0,83,0,83,1382,29,0.4409,22684,39954,40371,16903,,17357,18320,,-666666666,22384,02,164
"Matanuska-Susitna Borough, Alaska",98679,51495,47184,82571,1042,5100,1316,175,611,7864,251,7613,94216,4463,0.4061,30078,32246,32631,21119,26144,21445,18529,21835,19675,16358,02,170
"Nome Census Area, Alaska",9879,5317,4562,1623,75,7174,127,22,11,847,17,830,9667,212,0.4413,20033,46082,47602,19279,17573,13374,32940,23632,27955,24608,02,180
"North Slope Borough, Alaska",9681,6114,3567,3150,57,5022,584,182,108,578,13,565,9310,371,0.4155,49982,96876,98536,41675,94839,23173,42003,29524,72600,33207,02,185
"Northwest Arctic Borough, Alaska",7723,4181,3542,890,43,6350,61,1,62,316,0,316,7560,163,0.4200,21028,56650,57513,30150,33165,15443,41833,,39361,23451,02,188
"Petersburg Borough, Alaska",3196,1712,1484,2391,75,241,143,20,61,265,16,249,2865,331,0.4475,34788,39506,41329,22708,15463,23625,26659,11510,24407,16375,02,195
"Prince of Wales-Hyder Census Area, Alaska",6374,3444,2930,2941,13,2650,69,38,10,653,15,638,6153,221,0.4103,25564,32986,33326,21761,24062,19298,12438,14647,32620,19506,02,198
"Sitka City and Borough, Alaska",8921,4564,4357,5744,195,1206,616,33,82,1045,126,919,8365,556,0.3924,35655,41700,42418,25023,27474,27959,25629,18836,30974,19645,02,220
"Skagway Municipality, Alaska",1014,541,473,815,11,59,76,0,4,49,4,45,950,64,0.3262,39412,42045,42219,30992,62545,24644,32168,-666666666,,20753,02,230
"Southeast Fairbanks Census Area, Alaska",6970,3876,3094,5444,98,768,124,3,105,428,14,414,6617,353,0.3899,30757,34306,35034,17564,13356,12688,43825,,32475,17467,02,240
"Valdez-Cordova Census Area, Alaska",9522,5065,4457,7023,12,1420,353,51,30,633,21,612,9078,444,0.4122,35457,41281,42325,22062,23400,17489,15307,11282,44793,24116,02,261
"Wrangell City and Borough, Alaska",2401,1218,1183,1621,7,462,83,0,3,225,0,225,2329,72,0.3991,29782,33939,34201,8836,,20002,26246,-666666666,,22075,02,275
"Yakutat City and Borough, Alaska",646,346,300,290,7,201,38,7,2,101,0,101,628,18,0.3499,31084,40577,41024,29494,,22753,30026,21500,,22067,02,282
"Yukon-Koyukuk Census Area, Alaska",5600,3026,2574,1250,21,3938,41,0,25,325,3,322,5493,107,0.4587,20812,35478,36662,13067,19671,16625,17139,-666666666,21124,15649,02,290
"Apache County, Arizona",72346,35740,36606,16307,361,52978,259,81,647,1713,187,1526,68043,4303,0.4847,13428,23808,25783,14383,10547,10090,18094,15191,23299,13948,04,001
