NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_002E,B03003_003E,B19083_001E,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Sumner County, Kansas",23509,11647,11862,22202,233,291,62,0,157,564,64,500,22278,1231,0.4260,24764,25353,25810,18410,6769,17104,,-666666666,40785,11079,20,191
"Thomas County, Kansas",7909,3901,4008,7434,103,71,27,12,133,129,65,64,7501,408,0.4597,26241,26997,27406,11009,9840,10055,7933,,17261,14986,20,193
"Trego County, Kansas",2927,1431,1496,2835,4,40,14,0,0,34,0,34,2903,24,0.3658,29651,29582,29684,13921,,22178,,-666666666,-666666666,2632,20,195
"Wabaunsee County, Kansas",6960,3510,3450,6684,21,25,14,0,18,198,22,176,6724,236,0.3590,25194,25599,25943,18664,,18496,33179,-666666666,4667,14741,20,197
"Wallace County, Kansas",1584,799,785,1536,0,6,1,0,29,12,0,12,1508,76,0.4885,28875,29395,29787,12662,-666666666,5467,,-666666666,,,20,199
"Washington County, Kansas",5613,2863,2750,5425,27,16,9,0,46,90,15,75,5429,184,0.3971,24241,24757,25083,11498,,17438,,-666666666,15150,7264,20,201
"Wichita County, Kansas",2168,1063,1105,2033,8,22,0,0,83,22,0,22,1451,717,0.3945,26194,26653,32890,12556,,20236,-666666666,-666666666,13898,36905,20,203
"Wilson County, Kansas",8956,4371,4585,8493,43,65,57,0,24,274,0,274,8706,250,0.4390,23869,24113,24294,15456,16779,16769,61535,-666666666,,13194,20,205
"Woodson County, Kansas",3186,1601,1585,2999,20,12,8,0,11,136,4,132,3099,87,0.4285,20499,21164,21185,9610,,8817,,-666666666,,5981,20,207
"Wyandotte County, Kansas",161777,79712,82065,99287,38556,1053,5883,280,10682,6036,1283,4753,117119,44658,0.4276,19282,21370,25652,12485,17715,15119,13341,4442,14409,10775,20,209
"Adair County, Kentucky",19156,9484,9672,18164,593,26,48,0,88,237,11,226,18803,353,0.4495,18463,18788,18880,10778,15084,,3402,-666666666,7774,7994,21,001
"Allen County, Kentucky",20421,10146,10275,19701,310,6,72,0,176,156,0,156,20043,378,0.4333,20607,20498,20644,11231,33237,,20339,-666666666,17372,13718,21,003
"Anderson County, Kentucky",21867,10625,11242,20862,558,0,84,0,73,290,62,228,21525,342,0.3906,24891,25295,25283,23415,14498,-666666666,,-666666666,,24484,21,005
"Ballard County, Kentucky",8216,4081,4135,7741,298,36,38,0,3,100,21,79,8120,96,0.4353,24459,25343,25423,11208,13082,3031,3689,-666666666,,6266,21,007
"Barren County, Kentucky",43287,21084,22203,40179,1771,128,205,0,227,777,150,627,42007,1280,0.4390,20130,20582,20843,9957,14357,10857,37950,-666666666,15693,8022,21,009
"Bath County, Kentucky",12113,6015,6098,11648,189,9,23,0,95,149,0,149,11930,183,0.4977,19590,19589,19722,21074,20424,,28209,-666666666,38558,6348,21,011
"Bell County, Kentucky",27676,13503,14173,26288,934,9,101,0,40,304,9,295,27557,119,0.4854,13654,13845,13842,14939,9929,,26820,-666666666,,5890,21,013
"Boone County, Kentucky",125656,62107,63549,115329,3473,214,3059,0,935,2646,0,2646,120672,4984,0.4111,31593,31607,32108,22309,29398,161286,45270,-666666666,13834,13860,21,015
"Bourbon County, Kentucky",20004,9772,10232,18057,1435,7,55,0,308,142,0,142,18677,1327,0.4553,24433,25457,26296,11076,16303,,11233,-666666666,10499,12970,21,017
"Boyd County, Kentucky",48716,24164,24552,45988,1279,85,188,0,119,1057,73,984,47932,784,0.5091,25939,26164,26254,11587,22095,3626,68415,-666666666,,17623,21,019
"Boyle County, Kentucky",29650,14774,14876,26342,2088,55,235,0,99,831,44,787,28724,926,0.4819,23276,24059,24457,10299,17768,12524,26151,-666666666,3935,14510,21,021
"Bracken County, Kentucky",8404,4188,4216,8272,2,0,8,0,72,50,0,50,8274,130,0.4612,21569,21843,21894,9151,,-666666666,,-666666666,,,21,023
"Breathitt County, Kentucky",13476,6742,6734,13166,81,15,60,0,20,134,0,134,13361,115,0.5063,15798,15755,15816,2743,2649,25000,53683,-666666666,,12301,21,025
"Breckinridge County, Kentucky",20000,10026,9974,19145,353,0,76,0,45,381,0,381,19757,243,0.4111,19984,20115,20205,10684,20813,-666666666,31957,-666666666,6420,11838,21,027
"Bullitt County, Kentucky",77727,38657,39070,74875,486,105,407,96,362,1396,19,1377,76407,1320,0.3813,25805,26099,26215,14829,28412,18132,21073,,12588,12908,21,029
"Butler County, Kentucky",12828,6440,6388,12368,146,44,0,0,163,107,10,97,12389,439,0.4326,20591,20689,20974,12670,29862,,-666666666,-666666666,,17735,21,031
"Caldwell County, Kentucky",12758,6123,6635,11805,780,0,0,25,0,148,12,136,12562,196,0.4764,23308,23985,24234,7757,16020,-666666666,-666666666,,-666666666,7146,21,033
"Calloway County, Kentucky",38302,18356,19946,35037,1386,116,653,0,89,1021,109,912,37328,974,0.4985,21109,21863,22109,8824,19683,15373,12870,-666666666,13435,3763,21,035
"Campbell County, Kentucky",91456,44729,46727,85812,3056,67,690,31,433,1367,136,1231,89781,1675,0.4468,29834,30924,31117,15932,12437,40904,16676,,15765,11541,21,037
"Carlisle County, Kentucky",4954,2408,2546,4782,92,24,3,0,6,47,13,34,4843,111,0.4369,23456,23981,24176,11657,14127,,,-666666666,,,21,039
"Carroll County, Kentucky",10776,5520,5256,9669,273,21,39,0,605,169,5,164,10052,724,0.4594,21639,22736,22809,12687,9240,,23003,-666666666,13633,9720,21,041
"Carter County, Kentucky",27292,13473,13819,26736,243,37,32,4,23,217,0,217,26965,327,0.4312,19170,19385,19506,8807,2770,14905,,,,13135,21,043
"Casey County, Kentucky",15928,7854,8074,15477,106,54,44,0,61,186,61,125,15498,430,0.4673,18146,18329,18477,11119,9086,9419,20025,-666666666,14603,11332,21,045
"Christian County, Kentucky",73936,39157,34779,53122,15149,467,1100,267,698,3133,175,2958,68530,5406,0.4498,19962,22329,22749,14420,15164,13072,20292,10701,10359,6864,21,047
"Clark County, Kentucky",35706,17464,18242,33112,1860,32,216,0,155,331,17,314,34723,983,0.4416,25674,26246,26556,14393,16708,,13858,-666666666,20282,30227,21,049
"Clay County, Kentucky",21160,11267,9893,19817,849,71,13,13,139,258,56,202,20705,455,0.5069,14255,14582,14693,6345,11399,13951,,,3117,6049,21,051
"Clinton County, Kentucky",10172,5087,5085,9966,72,0,23,0,14,97,65,32,9893,279,0.4894,18444,18653,18850,7214,3025,-666666666,,-666666666,14800,4233,21,053
"Crittenden County, Kentucky",9211,4652,4559,8964,117,8,5,0,11,106,0,106,9132,79,0.4577,21735,22124,22243,6805,7279,,,-666666666,,6337,21,055
"Cumberland County, Kentucky",6780,3363,3417,6415,223,0,27,0,0,115,0,115,6766,14,0.4785,18362,18855,18874,,12205,-666666666,,-666666666,-666666666,1381,21,057
"Daviess County, Kentucky",98724,47998,50726,90333,4593,136,1138,0,387,2137,127,2010,96018,2706,0.4491,25026,25984,26427,9260,16229,12874,26859,-666666666,8635,6211,21,059
"Edmonson County, Kentucky",12086,5991,6095,11634,204,21,21,0,0,206,29,177,11935,151,0.4380,20194,20598,20695,2709,9158,54376,,-666666666,-666666666,4069,21,061
"Elliott County, Kentucky",7661,4321,3340,7453,179,7,4,0,12,6,0,6,7644,17,0.4756,14218,14546,14549,,2859,,,-666666666,,,21,063
"Estill County, Kentucky",14406,7062,7344,14110,17,21,0,1,7,250,7,243,14366,40,0.4551,16763,16917,16953,6738,20788,23757,-666666666,,,6887,21,065
"Fayette County, Kentucky",311529,152953,158576,236242,45319,1022,10891,129,8537,9389,940,8449,290207,21322,0.4962,30502,34126,35036,14855,18710,12641,33494,20529,12181,11505,21,067
"Fleming County, Kentucky",14543,7180,7363,14002,195,7,14,0,108,217,77,140,14372,171,0.5094,22222,22406,22408,10775,35635,,,-666666666,15977,3226,21,069
"Floyd County, Kentucky",38144,18695,19449,37313,279,39,114,0,42,357,36,321,37869,275,0.5087,18345,18248,18288,6174,5671,22159,128242,-666666666,,4920,21,071
"Franklin County, Kentucky",49982,24386,25596,41377,5149,108,881,10,737,1720,319,1401,48529,1453,0.4087,27252,29342,29436,17515,18117,14265,24139,,20242,9470,21,073
"Fulton County, Kentucky",6323,3141,3182,4503,1653,4,22,0,14,127,11,116,6286,37,0.4790,18067,19434,19429,8000,15257,,19277,-666666666,,7829,21,075
"Gallatin County, Kentucky",8543,4288,4255,8046,35,0,65,0,204,193,0,193,8106,437,0.3838,21452,21995,22288,10411,29171,-666666666,,-666666666,8395,12817,21,077
"Garrard County, Kentucky",17051,8359,8692,16392,207,24,27,0,35,366,11,355,16666,385,0.4319,23796,24037,24373,8534,32842,,,-666666666,,8590,21,079
"Grant County, Kentucky",24705,12263,12442,23439,146,48,21,0,591,460,17,443,24076,629,0.4062,19395,19809,19891,14255,6845,6096,,-666666666,12311,13635,21,081
"Graves County, Kentucky",37379,18309,19070,33979,1690,62,151,151,568,778,54,724,35162,2217,0.4633,21277,22404,22698,11300,11963,22298,22591,11209,4483,6165,21,083
"Grayson County, Kentucky",26092,13029,13063,25112,363,122,46,21,208,220,71,149,25773,319,0.4797,20783,20428,20487,39523,37439,6167,31983,,52338,11661,21,085
"Green County, Kentucky",11123,5447,5676,10594,249,0,43,0,0,237,15,222,11022,101,0.4774,20974,21473,21624,,12093,-666666666,32856,-666666666,-666666666,5811,21,087
"Greenup County, Kentucky",36255,17640,18615,35170,283,80,152,0,59,511,14,497,35882,373,0.4544,24446,24592,24474,32244,25420,10696,38667,-666666666,27507,11450,21,089
"Hancock County, Kentucky",8716,4500,4216,8433,100,0,8,0,3,172,18,154,8599,117,0.4076,22041,22235,22381,5067,22353,-666666666,,-666666666,,12841,21,091
"Hardin County, Kentucky",107573,53666,53907,85745,12482,255,2321,401,1283,5086,300,4786,101685,5888,0.4207,25561,26104,26344,18827,27842,21852,29038,21745,22368,10508,21,093
"Harlan County, Kentucky",28031,13647,14384,26775,685,36,115,28,125,267,45,222,27802,229,0.4863,16080,16267,16300,5134,12327,13050,12285,,8190,12252,21,095
"Harrison County, Kentucky",18629,9133,9496,17709,375,32,16,0,191,306,25,281,18211,418,0.4679,22024,22711,22802,10012,10289,,,-666666666,,8308,21,097
"Hart County, Kentucky",18510,9146,9364,17268,882,62,43,3,32,220,0,220,18193,317,0.4726,19566,19123,19139,16299,31678,30206,23521,,,4989,21,099
"Henderson County, Kentucky",46362,22480,23882,40972,3347,80,161,0,538,1264,136,1128,45323,1039,0.4594,23752,25009,25257,13692,17031,10599,18692,-666666666,16063,5536,21,101
"Henry County, Kentucky",15528,7699,7829,14488,539,42,0,11,262,186,5,181,15021,507,0.4018,22499,22940,23142,7496,21408,19279,-666666666,,5572,17217,21,103
"Hickman County, Kentucky",4691,2195,2496,4138,430,0,33,0,6,84,2,82,4650,41,0.3768,18416,19333,19498,,13572,-666666666,,-666666666,,4108,21,105
"Hopkins County, Kentucky",46359,22520,23839,41761,2928,148,235,0,228,1059,109,950,45508,851,0.4365,22672,23382,23427,16677,19661,14815,30570,-666666666,15160,3981,21,107
"Jackson County, Kentucky",13357,6646,6711,13275,19,3,0,0,0,60,0,60,13357,0,0.4572,16713,16689,16689,-666666666,,,-666666666,-666666666,-666666666,14028,21,109
"Jefferson County, Kentucky",759724,366994,392730,552489,159215,1114,19339,375,5030,22162,1811,20351,723156,36568,0.4829,29758,33661,34399,18840,18770,25320,30471,22688,19012,13569,21,111
"Jessamine County, Kentucky",51015,24991,26024,46814,1914,168,685,22,468,944,67,877,49481,1534,0.4902,27409,28512,28832,10612,15591,11958,26428,22082,7901,9925,21,113
"Johnson County, Kentucky",23280,11432,11848,22740,103,28,172,0,93,144,45,99,23109,171,0.4518,18290,18118,18109,16654,14026,,53297,-666666666,,1905,21,115
"Kenton County, Kentucky",163393,80736,82657,147685,7147,190,2005,73,2284,4009,313,3696,158596,4797,0.4422,28785,30176,30194,20407,16922,21066,24269,,13497,9765,21,117
"Knott County, Kentucky",15884,7887,7997,15478,152,0,11,20,0,223,44,179,15829,55,0.4840,17761,17836,17850,,11371,-666666666,,,-666666666,17474,21,119
"Knox County, Kentucky",31740,15460,16280,30820,461,106,136,0,3,214,0,214,31408,332,0.4815,15479,15715,15805,6718,9298,7316,3396,-666666666,,6747,21,121
"Assumption Parish, Louisiana",22973,11284,11689,15581,6881,141,48,0,154,168,13,155,22384,589,0.4732,24207,29534,29961,14889,12322,11890,44881,-666666666,18530,26627,22,007
"Avoyelles Parish, Louisiana",41252,20732,20520,27595,12594,505,137,30,119,272,25,247,40547,705,0.4920,19595,23899,24183,8968,10537,15706,29195,,10450,8564,22,009
"Beauregard Parish, Louisiana",36435,18600,17835,30060,4781,289,180,3,191,931,20,911,35136,1299,0.4457,23141,24005,24378,14087,18938,28283,20518,,21893,15636,22,011
"Bienville Parish, Louisiana",13924,6712,7212,7740,5765,14,2,0,215,188,60,128,13678,246,0.4985,22123,28644,28191,34483,14607,,,-666666666,3864,6759,22,013
"Bossier Parish, Louisiana",124720,61707,63013,90705,26788,721,1991,206,1370,2939,402,2537,116783,7937,0.4443,27210,30893,31817,16311,16893,19533,26847,18672,14389,16303,22,015
"Caddo Parish, Louisiana",253125,120312,132813,119554,123126,879,3053,81,2351,4081,987,3094,246295,6830,0.5147,25206,34604,34998,22319,16183,20433,35415,362142,19136,12326,22,017
"Calcasieu Parish, Louisiana",197233,96206,101027,139481,49002,683,2555,11,1249,4252,316,3936,191251,5982,0.4653,25249,28663,28827,21424,16693,27180,28375,,20414,11100,22,019
"Caldwell Parish, Louisiana",9997,5287,4710,8155,1641,91,28,0,8,74,7,67,9721,276,0.5299,19774,21860,22117,12738,10104,10396,33661,-666666666,,11035,22,021
"Cameron Parish, Louisiana",6739,3290,3449,6424,107,0,35,0,166,7,0,7,6397,342,0.4074,31007,31972,31301,31848,5363,-666666666,,-666666666,,,22,023
"Catahoula Parish, Louisiana",10145,5415,4730,6745,3324,8,15,0,11,42,7,35,10015,130,0.5207,21870,27834,27899,19922,9970,,,-666666666,,,22,025
"Claiborne Parish, Louisiana",16452,9408,7044,7589,8308,90,5,3,28,429,30,399,16224,228,0.5033,16417,22913,23017,1769,11121,17113,,,,4997,22,027
"Concordia Parish, Louisiana",20288,10295,9993,11776,8338,13,27,24,49,61,0,61,20027,261,0.5043,17110,22486,22571,17919,9613,,,,,,22,029
"De Soto Parish, Louisiana",27047,13053,13994,15986,10111,233,101,12,140,464,91,373,26300,747,0.4885,23284,28644,28863,17969,15109,24769,19854,,22556,16468,22,031
"East Baton Rouge Parish, Louisiana",445337,213365,231972,214016,203768,824,14383,89,4923,7334,270,7064,428097,17240,0.5004,29146,39612,40367,23477,19018,35408,27517,14125,18086,15270,22,033
"East Carroll Parish, Louisiana",7419,4256,3163,2015,5277,0,0,0,0,127,23,104,7361,58,0.5026,11133,21896,21977,10455,7239,-666666666,-666666666,-666666666,-666666666,,22,035
"East Feliciana Parish, Louisiana",19756,10746,9010,10617,8881,32,51,0,47,128,0,128,19464,292,0.4327,21850,28202,28605,11336,13562,,149933,-666666666,,31698,22,037
"Evangeline Parish, Louisiana",33765,17283,16482,23128,9260,62,118,0,641,556,43,513,32693,1072,0.4960,18440,23059,23269,5903,8741,21563,11121,-666666666,3456,6298,22,039
"Franklin Parish, Louisiana",20464,9963,10501,13474,6777,7,11,0,0,195,0,195,20401,63,0.4871,18178,23058,23140,3875,8909,,,-666666666,-666666666,2475,22,041
"Grant Parish, Louisiana",22372,12543,9829,17887,3207,277,54,0,332,615,278,337,21038,1334,0.4449,18376,20872,21506,5300,9234,3108,3233,-666666666,6655,8014,22,043
"Iberia Parish, Louisiana",73799,36031,37768,45666,23044,68,2056,0,854,2111,99,2012,70950,2849,0.4924,23737,29031,29433,17026,14041,23481,33166,-666666666,14962,9438,22,045
"Iberville Parish, Louisiana",33159,16812,16347,16352,16298,67,17,0,229,196,0,196,32335,824,0.4813,22397,31267,31624,15417,14013,4791,,-666666666,4940,7852,22,047
"Jackson Parish, Louisiana",15999,8165,7834,10871,4837,4,72,0,165,50,7,43,15754,245,0.4573,19293,22598,22719,18925,11993,,7699,-666666666,,80426,22,049
"Jefferson Parish, Louisiana",435204,211528,223676,277542,115424,1737,18169,149,13555,8628,1211,7417,374920,60284,0.4722,28067,33128,35374,19607,17976,21079,27836,8183,18910,16871,22,051
"Jefferson Davis Parish, Louisiana",31399,15351,16048,25191,5177,215,107,0,53,656,42,614,30720,679,0.4875,22665,24935,25197,14377,13597,24485,26903,-666666666,45736,3905,22,053
"Lafayette Parish, Louisiana",234963,114864,120099,164408,59975,449,3776,4,1504,4847,429,4418,224632,10331,0.4892,30403,36093,36957,19372,16731,46812,26513,,20513,11187,22,055
"Lafourche Parish, Louisiana",97688,47946,49742,77672,12975,2147,799,27,1714,2354,104,2250,93498,4190,0.4414,25299,27886,28075,20643,14442,20528,24544,,18931,9295,22,057
"LaSalle Parish, Louisiana",14927,7767,7160,12779,1844,148,2,12,19,123,0,123,14548,379,0.4879,19434,21317,21874,1545,7031,,,,,28732,22,059
"Lincoln Parish, Louisiana",47480,23134,24346,25626,19378,66,844,0,786,780,61,719,46153,1327,0.5392,21452,29242,29472,11358,12327,14936,10969,-666666666,16531,9054,22,061
"Livingston Parish, Louisiana",135925,66559,69366,123634,8128,401,626,8,1233,1895,305,1590,131359,4566,0.4290,26558,27395,27464,21020,17048,49521,20741,,17696,15504,22,063
"Madison Parish, Louisiana",11803,5884,5919,4244,7445,9,0,0,20,85,0,85,11575,228,0.5008,14564,20330,20593,14234,11353,,-666666666,-666666666,16960,2334,22,065
"Morehouse Parish, Louisiana",26739,12774,13965,13408,12881,21,92,0,147,190,83,107,26419,320,0.5043,18222,23569,23727,4728,13089,9100,7027,-666666666,,7504,22,067
"Natchitoches Parish, Louisiana",39258,18654,20604,21408,15874,500,251,0,397,828,53,775,38434,824,0.5513,19178,24757,24722,23093,12075,23403,14324,-666666666,12970,12999,22,069
"Orleans Parish, Louisiana",382922,182959,199963,130323,229143,776,11208,96,5144,6232,741,5491,361971,20951,0.5702,28444,49476,51928,24965,16808,30345,29414,17182,20013,21589,22,071
"Ouachita Parish, Louisiana",156398,74967,81431,93835,58684,430,1481,14,737,1217,222,995,153113,3285,0.4989,21866,27957,28136,18915,11885,23549,37109,,19521,15611,22,073
"Plaquemines Parish, Louisiana",23584,11585,11999,16385,4887,256,844,0,524,688,30,658,22119,1465,0.4625,25359,29686,30176,16237,14590,30716,23413,-666666666,9839,11019,22,075
